int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Sfax,449,315,2000,2001,2004,2004,3914869371,5924040369,786,986,957,995,809,61855
Bizerte,457,342,2003,2003,2006,2007,5338094965,8101996692,754,909,822,812,1032,78867
Skhira,141,119,2007,2008,2009,2009,5593795557,9606609988,922,1444,1490,1521,781,60322
Rades,1009,276,2000,2005,2003,2005,11716509820,8750911169,477,812,624,703,2150,165863
Gabes,288,213,2001,2001,2007,2008,2936689659,4502208197,1015,1113,1158,1185,516,39485
Ashtart Oil Terminal,40,39,2005,2005,2006,2006,519841908,839619957,1019,964,919,917,84,6497
Sousse,429,272,2000,2001,2002,2002,2048804418,2875496930,764,885,823,848,557,42551
Zarzis,204,145,2000,2000,2004,2004,1768571708,2335048389,965,1212,1224,1216,442,33818
Didon Terminal,71,27,2004,2003,2007,2007,981456226,1750545339,614,809,796,817,165,12693
La Goulette,751,115,2002,2005,2003,2004,12952796389,3775836909,466,733,556,618,2988,230396
Ksibet El Mediouni,3,3,1995,1995,2006,2006,35745489,39829554,241,344,612,589,8,657
Menzel Bourguiba,30,30,2003,2003,2004,2004,186160332,228127784,549,787,734,780,50,3839
Al Marsa,18,18,2004,2004,2011,2013,233710866,334424894,874,918,1156,1501,38,2886
Kelibia,52,47,1994,1995,2004,2004,450521192,607786733,620,973,1280,1235,100,7628
Tazerka Oil Terminal,14,12,1995,1999,2010,2010,123667884,212122868,459,713,616,607,17,1286
Jarjis,7,7,2002,2002,2011,2010,175634752,206649051,421,757,573,443,22,1733
Soliman,16,15,2000,2000,2003,2003,110868045,160130879,1040,885,956,1001,19,1450
Al Hammamat,19,11,1997,1997,1991,1989,147419864,191957596,511,1060,1794,1883,36,2770
Chebba,3,3,2007,2007,2007,2007,21816590,31570667,1331,1241,937,915,4,299
Tebourba,10,5,1988,1994,1994,1992,21338987,28941693,541,9649,5148,5658,35,2638
Mahdia,15,7,1992,1990,1990,1989,11630036,17111670,311,487,837,897,9,649
Tunis,3,3,2000,2000,2011,2011,186329308,202150383,1601,1194,1501,1493,21,1599
Tabarka,13,13,2003,2003,2008,2008,74328497,104977505,395,502,629,659,14,1049
Borj Cedria,12,12,1998,1998,2001,2002,53828816,76002233,766,904,627,568,17,1300
Monastir,17,7,1988,1991,1997,1997,35095582,45834631,482,1026,1297,1337,14,1068
Ariana,2,2,2002,2002,2008,2008,52415764,82625096,1348,1348,1450,1443,6,445
