int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,1721,632,2008,2009,2009,2009,167999871156,311436534537,1084,2139,1864,1881,19495,1507737
Bulk carrier,1765,979,2003,2008,2009,2009,99818415958,177113714266,1182,2328,2446,2502,9606,741890
Container,4204,700,2005,2006,2008,2008,186878857517,213595223787,679,1035,993,1008,22993,1776502
Chemical tanker,2629,845,2007,2008,2008,2008,48937604160,78226121431,840,1517,1245,1250,10616,818098
Vehicle,904,236,2004,2007,2007,2006,55773831013,18635107643,918,1720,1334,1333,3766,291387
Ro-Ro,2298,109,2005,2004,2008,2008,55237760307,25137170371,600,1007,837,843,9372,725897
Liquefied gas tanker,686,159,2007,2008,2008,2008,47192552871,42478479534,908,2163,2887,2755,7554,492614
Service - tug,438,183,2001,2000,2003,2003,292059575,231295436,281,1210,628,610,501,37669
Service - other,124,61,1994,1994,1994,1992,383248758,260537228,425,1092,1142,951,297,22335
General cargo,4971,1590,1999,2001,2004,2004,35411991016,49287923140,866,1273,1341,1330,7731,591203
Ferry-RoPax,3482,182,1994,1989,2000,2000,52664506854,10235174151,348,1006,540,561,14838,1140477
Refrigerated bulk,78,25,2003,1996,2001,2001,1627531905,1761794064,653,3117,2366,2346,707,54122
Ferry-pax only,177,99,1991,1992,1993,1995,235127644,60865825,440,6063,3552,4061,595,44671
Cruise,1792,144,2003,2000,2006,2005,59207321373,5715474061,302,403,432,440,13421,1039190
Offshore,136,70,2005,2001,2009,2008,520621689,553369643,385,1444,977,937,412,31002
Other liquids tankers,11,10,1975,1971,1988,1987,113210633,160562421,404,5062,1712,1724,254,19581
Miscellaneous - fishing,78,38,1988,1992,1985,1990,29328582,33504457,514,2251,1587,1698,143,10740
