int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Marciana Marina,1,1,1963,1963,1963,1963,66295,49151,84,84,84,84,1,39
Santa Maria Navarrese,1,1,1995,1995,1995,1995,16764802,6313482,1286,1286,1286,1286,3,198
Marina Di Davoli,1,1,2014,2014,2014,2014,5517,4409,11,11,11,11,0,7
Macchia,1,1,2020,2020,2020,2020,120985,93731,72,72,72,72,0,12
Goro,2,2,1982,1982,1976,1979,223003,194634,83,83,85,74,1,74
Noli,1,1,2007,2007,2007,2007,14474161,17982343,1457,1457,1457,1457,5,358
Lacco Ameno,2,2,1988,1988,1988,1988,3287500,417942,4020,4020,4696,2786,7,492
Bisceglie,1,1,2001,2001,2001,2001,2659021,3888738,920,920,920,920,1,39
Amantea,2,2,2006,2006,2007,2007,40936228,74783239,666,666,556,546,4,316
Portigliola,2,2,1996,1996,2001,2001,6272881,8687736,774,774,832,828,1,96
Fossacesia,1,1,1987,1987,1987,1987,108307,78225,394,394,394,394,0,7
Cremona,1,1,1988,1988,1988,1988,308499,186930,1307,1307,1307,1307,1,78
Marina Di Pisciotta,1,1,2008,2008,2008,2008,15731726,24582951,608,608,608,608,3,224
Giulianova,1,1,2000,2000,2000,2000,4059395,5237345,18122,18122,18122,18122,9,648
