int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Gallipoli,14,13,2000,1999,2003,2003,255475311,376184881,476,987,1635,2892,36,2764
Duino,2,2,2008,2008,2008,2008,5515718,7640405,780,780,1102,1339,2,153
Porto Conte Torre Nuova,7,5,2001,2003,2010,2001,48621533,27101759,317,1034,386,762,10,754
Cervia,5,5,2010,2010,2009,2009,12008568,15430858,219,349,322,359,5,408
Albenga,2,2,1996,1996,2006,2005,99960150,27188110,1314,1314,2061,1879,8,599
Sorrento,11,11,1988,1988,1980,1970,51833731,7373190,2195,8475,1443,2022,57,4278
Maiori,13,12,2005,2005,2003,2004,381538655,244950729,1058,1059,845,886,43,3355
Capo D'Orlando,5,5,2001,2001,2007,2010,28481309,35568341,503,524,592,606,4,293
Savelletri,14,14,2002,2002,2006,2007,123451569,107296190,903,899,938,671,29,2248
Trappeto,3,3,1993,1993,2006,2006,5237060,7268759,309,382,630,674,1,92
Cefalu,3,3,1998,1998,2005,2003,24844545,8618531,402,509,720,557,3,207
Sestri Levante,2,2,1986,1986,2004,2004,33599955,42412004,761,761,616,616,6,480
Cariati,5,5,2001,2001,2004,2003,83347886,139730621,1412,1777,1731,1754,11,804
Porto Viro,2,2,2010,2010,2000,2000,12391,8705,38,38,0,1,153,11516
Santa Teresa Gallura,15,9,1985,1990,1986,1996,56817373,20949839,951,1215,1264,490,33,2449
Torre Cesarea,14,13,2007,2007,2009,2009,384275890,610191809,1300,1567,2144,2306,48,3670
Terrasini,6,3,1998,2003,1998,1999,63456229,82370222,1942,1425,1649,1584,12,918
Palau,5,5,1994,1994,2000,2001,2609426,1269239,246,506,565,377,5,356
Le Grazie,25,8,2004,1999,2007,2007,622796578,483123491,498,852,576,578,161,11261
Marina Di Pisa,6,6,2010,2010,2012,2012,2168882310,1576868447,3017,3513,3928,3830,253,15321
Massa Lubrense,12,12,1995,1995,2001,2001,229219273,163548748,1246,3879,1299,1401,67,5086
Ponza,16,14,1998,1999,2009,2009,377695377,634529722,549,1010,1723,2215,47,3573
Anzio,4,4,2006,2006,2010,2010,43128885,53882899,1293,1299,1264,1260,14,1050
Porto San Giorgio,7,7,1995,1995,2008,2000,87451098,30047682,555,5788,349,231,51,3869
Levanto,2,2,2000,2000,2004,2004,10363174,13383981,758,758,789,785,3,196
Iesolo,6,6,2006,2006,2010,2010,399589746,718145899,1218,1025,1130,1433,38,2928
Viareggio,7,4,2012,2007,2008,2006,6451169,6899438,193,1005,538,604,6,440
Soverato,1,1,2004,2004,2004,2004,1381469,2411632,720,720,720,720,0,30
Calasetta,3,3,1997,1997,2000,2001,6238754,10191869,525,534,536,534,2,181
Scauri,2,2,2010,2010,2010,2010,4748715,6810840,420,420,335,323,2,123
Goro,3,3,1990,1990,1983,1977,2504575,1310492,1032,892,455,699,2,158
