int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Gulfport,116,30,2000,2007,1999,2001,1514147324,1657777899,935,732,990,983,441,33699
Edgemere,34,34,2009,2009,2012,2012,2983241457,4983631898,3703,3345,3447,3448,296,22759
Indiana Harbor,15,13,1987,1990,2005,2004,100831856,152836857,535,447,520,491,18,1351
Providence,87,55,2010,2009,2012,2012,5112426235,6701038269,1043,2616,2524,2324,566,43348
Cut Off,7,7,1998,1998,2007,2008,1004322947,1740768773,1699,3737,6186,6052,126,9677
Berwick,4,3,1984,1986,1980,1979,426836,279337,497,334,418,340,11,852
Portland,55,51,2006,2006,2012,2012,8267251914,14344957357,4728,3687,4020,4210,897,68773
Berkeley,20,18,2013,2013,2013,2014,2477033434,2797318311,4646,4330,3813,4882,282,21727
Oregon,23,18,1999,1997,1997,1998,124293633,189041360,243,266,256,254,17,1266
Rainier,26,26,2008,2008,2011,2011,4369362518,8150840917,4888,3977,4549,4564,307,23618
Everett,39,29,2000,1998,2007,2007,2308133800,3119909476,2413,3066,3704,3706,316,24273
Long Reach,1,1,1980,1980,1980,1980,84777,89097,540,540,540,540,1,42
Edmonds,2,2,1970,1970,1972,1972,6789530,2338200,1085,1085,1141,1311,8,608
Baton Rouge,4,4,2009,2009,2014,2014,250333904,467090961,832,1589,2796,2942,20,1561
Newport,16,15,1992,1993,2008,2008,611247728,587529975,2780,1948,3806,3881,79,6031
Seal Beach,30,30,2009,2009,2013,2014,10231869530,15019136324,3096,3642,5241,5294,1035,79556
Mukilteo,9,9,1989,1989,2002,2003,273032533,352857450,485,1378,3478,4030,38,2942
Laurel,2,2,2008,2008,2012,2012,2159140394,4182084994,6861,6861,11699,11812,116,8996
Patchogue,11,11,2008,2008,2007,2008,3959580450,4818055763,4054,5046,5982,5932,481,37157
Delaware City,68,33,2002,2002,2010,2010,4739007579,8715509663,740,2173,2889,2954,553,42213
Ketchikan,237,40,1987,1993,2002,2005,5001857071,829266954,538,833,573,769,1181,88690
Calabash,1,1,2017,2017,2017,2017,1530961,1613356,202,202,202,202,0,37
Kitty Hawk,3,3,1993,1993,1989,1989,517937,116066,110,244,321,305,53,4005
Hoonah,27,6,1999,2002,2002,2002,1548909944,166110252,790,703,800,798,397,29819
Sitka,11,7,1991,1985,2000,2000,396839420,49950942,726,574,662,659,210,15758
Grand Haven,5,5,1979,1979,1965,1965,7432546,11101421,273,311,282,277,3,242
De Tour Village,27,21,1995,1995,1991,1991,134204746,209768571,279,322,361,368,21,1541
Mackinac Island,25,14,1997,1988,2000,1997,43038433,57162591,141,231,190,220,11,794
Presque Isle,23,13,1966,1971,1994,1992,57190403,92134891,155,202,235,222,11,806
New Caney,1,1,2013,2013,2013,2013,169,146,0,0,0,0,0,0
Morehead City,61,50,2006,2006,2007,2007,6393357108,9048293330,4099,4426,5759,5561,896,69025
Kittery,12,10,2006,2006,2012,2011,332762669,455474561,563,2258,1644,1546,52,3840
Coos Bay,97,41,1988,1996,2009,2009,7411174866,9412972575,520,3249,4684,4708,552,42547
Woodmere,27,27,2008,2008,2008,2009,3145016764,4665975844,3143,2737,2733,2623,325,25037
Williams,1,1,1963,1963,1963,1963,4467078,8373975,165,165,165,165,171,12851
Rockland,5,4,1986,1984,1993,1993,302561,147641,132,126,154,176,1,112
Cape Charles,22,22,2011,2011,2011,2012,4398517205,7424761079,3708,3474,3770,3901,292,21859
Mentor Harbor,3,3,2005,2005,2008,2008,10123474,13216398,147,501,398,370,4,304
Ogdensburg,48,35,1997,2000,2004,2005,55806460,81364627,123,143,135,135,19,1458
Saint Louis,18,18,2001,2001,2004,2004,874193677,1415253905,1260,2352,3273,3312,154,11851
Buffalo,17,8,1990,1986,1986,1985,28502733,55765672,67,204,164,199,6,451
North Wildwood,13,13,2005,2005,2009,2009,4971183317,9590476564,1610,3180,6447,6679,328,25353
Baraga,1,1,1959,1959,1959,1959,2918360,4502662,157,157,157,157,0,29
"Webster, Harris",59,32,2006,2007,2005,2005,2850578082,4087577962,697,2107,2883,2683,406,31249
Searsport,46,28,2009,2009,2014,2014,2078432025,3269153431,1220,2342,2077,2058,242,18499
Pensacola,3,3,1998,1998,2010,2010,140556080,166914261,749,2744,2896,2548,26,1935
Riverside,30,29,2010,2010,2010,2010,2684907011,4379649326,3196,3001,3039,3125,335,25683
Vallejo,4,4,1991,1991,1997,1997,141415305,12947561,261,64420,44110,12052,238,17888
Hoquiam,8,4,1977,1996,2011,2011,17344317,29017956,306,420,527,530,6,417
Miami,323,28,1990,1986,2005,2006,1509133166,2698905828,571,1302,2390,3404,258,19535
Lighthouse Point,6,6,1991,1991,2008,2008,91191290,148502708,903,1075,1215,1206,11,853
Newportville,2,2,2010,2010,2009,2009,308042856,553088885,4619,4619,4049,4248,21,1587
Pearl Harbor,22,16,1993,1998,1989,1987,2661658784,1828539595,3565,4113,6326,5603,377,28686
North Beach,39,23,2013,2012,2015,2014,32074675930,23586029296,6381,6949,7531,7392,2722,167246
Coeymans,15,15,2004,2004,2011,2011,1160833882,1859017699,3493,3659,4075,4001,131,10037
Yonkers,8,7,2011,2011,2012,2012,133549503,209969055,1817,1722,1924,1923,28,2154
Linden Hill,22,17,2007,2008,2009,2009,1323754340,2088664038,3407,3375,2696,2709,142,10894
Barbers Point Terminal,50,44,2007,2006,2007,2007,17502864029,29632608542,6011,6001,5952,5579,1810,135018
Warwick,7,7,1996,1996,2005,2005,54187615,81152801,870,971,1155,1127,9,666
San Juan Cannery,1,1,1976,1976,1976,1976,2385970,1759227,6555,6555,6555,6555,6,441
Estero,3,3,1999,1999,2009,2009,50755621,89208278,1032,938,1045,1046,9,670
Cathlamet,3,3,1980,1980,1974,1973,24408,17444,7,23,22,22,1,41
Avalon,111,13,1996,2002,2008,2014,7072073395,8256989140,267,3884,936,5549,1096,83596
Diberville,4,4,2013,2013,2014,2013,6194306,8503682,275,621,547,641,32,2369
Catalina Island,1,1,2007,2007,2007,2007,46769282,62711165,2051,2051,2051,2051,11,823
Rose Inlet,2,2,1984,1984,1987,1994,414601,484706,121,121,20,15,1,60
Eastport,12,9,2004,2005,2006,2006,306421439,422768175,975,1455,1448,1420,33,2486
Juneau,73,24,2002,1998,2006,2011,4172773110,1560943175,799,1855,955,2206,1053,79260
Tatoosh Island,19,14,1987,1989,2007,2008,1714105576,1730979824,651,2617,4999,5674,121,9318
Naknek,6,6,1984,1984,1965,1964,3473319,4420131,147,3938,2586,4542,20,1513
Warrenton,6,6,2006,2006,2013,2012,983297207,1233226526,4458,4165,4935,5124,61,4685
Indialantic,7,5,2006,2004,2010,2008,752089680,150261376,1323,974,1010,1170,134,10251
Trinidad Bay,1,1,2000,2000,2000,2000,34473696,42391918,633,633,633,633,3,206
Lawrence,1,1,2003,2003,2003,2003,118447353,207533302,2854,2854,2854,2854,12,934
Sand Point,7,7,1974,1974,1988,1992,9340538,6973640,742,1080,1280,1359,27,2043
Marblehead,3,3,2007,2007,2005,2005,300861883,286087206,1405,1416,1372,1387,54,3394
Pilottown,48,48,2010,2010,2011,2011,3592464436,6209766127,1576,2488,2742,2869,350,26862
Ludington,7,3,1970,1965,1968,1967,623632,381669,321,123,107,95,22,1657
Vineyard Haven,5,5,1996,1996,2008,2001,7007683,1436894,312,414,520,353,14,1039
Tottenville (Staten),56,47,2008,2008,2009,2009,3710622544,6081924123,3268,2906,3213,3243,573,43904
Ten Sleep,1,1,2009,2009,2009,2009,17020398,28675019,566,566,566,566,1,113
Skagway,17,7,2002,2006,2002,2009,1626679003,451397802,960,2252,1368,2446,331,25066
Holland,9,2,1947,1948,1948,1948,31261368,44821955,290,289,286,286,5,405
Bay City,28,10,1978,1974,1981,1980,114788096,227776564,144,151,157,154,14,1066
Fort Calhoun,1,1,2007,2007,2007,2007,74594932,141868296,1882,1882,1882,1882,4,291
Newfane,7,6,1993,1997,2008,2008,35330071,54718681,225,345,537,580,8,602
Melville,10,8,2005,2004,2006,2006,334596587,439728740,3170,2715,2383,2223,79,6031
Saint Pete Beach,9,9,2008,2008,2013,2014,970638782,1555848110,4971,4995,3890,5024,121,9298
Boutte,8,8,2007,2007,2010,2010,646329932,1144588831,2096,2352,2627,2640,58,4441
Crockett,18,17,2009,2009,2009,2009,1466032753,2318852704,2893,4076,4173,4246,179,13711
Hilo,15,11,2004,2002,2008,2008,1324639813,418162014,3848,3352,2590,3965,272,20897
Kiska,2,2,1984,1984,1988,1988,4345237,1729804,1665,1665,1964,1892,3,261
Ravena,2,2,1984,1984,2011,2011,109921805,144678306,5710,5710,11253,11316,24,1860
Rockport,1,1,1978,1978,1978,1978,3283049,5074954,136,136,136,136,1,52
Wrangell,9,9,1984,1984,1997,1991,25045613,4412920,223,1543,785,1020,36,2735
Kailua,1,1,1998,1998,1998,1998,21837,2182,31,31,31,31,0,4
Apalachicola,1,1,1980,1980,1980,1980,42318,36750,223,223,223,223,0,11
New Martinsville,1,1,1969,1969,1969,1969,5571852,4813380,29172,29172,29172,29172,24,1767
