dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Miscellaneous - fishing,5112,276,1975,1976,1976,1974,4355677712,2413029963,208,1488,1674,1503,4304,323282
Bulk carrier,9261,2129,1990,2010,2001,2000,100727738639,177971580385,317,501,434,426,12240,921328
Oil tanker,4656,851,2008,2008,2008,2008,208483277067,373215931041,451,629,750,745,31757,2394905
General cargo,2400,619,2005,2007,2006,2006,26463783573,36392030412,461,647,702,692,4657,351541
Chemical tanker,8934,1148,2010,2010,2010,2010,142664424017,232337159743,420,541,664,664,26612,2005858
Vehicle,3057,454,2007,2007,2007,2007,144380663050,51819398728,551,590,797,822,8835,671051
Service - tug,57706,974,1989,1989,1996,1998,7439727285,5586140610,121,432,306,313,21434,1609359
Container,10533,987,2006,2007,2005,2005,378653042352,411964170887,438,537,564,554,49289,3727488
Offshore,4395,407,2002,2003,2008,2007,6366959110,7508389749,345,1279,992,988,9028,676430
Liquefied gas tanker,432,143,2009,2011,2015,2015,15869211101,15237654290,191,1334,1501,1293,1980,138563
Cruise,4889,143,2000,2002,2004,2004,99412359073,9413304196,188,353,426,415,24617,1853915
Service - other,2386,151,1996,1991,1990,1990,6521480576,4955515923,274,995,997,785,4943,371911
Ferry-RoPax,2070,64,1978,1987,1987,1980,8064278935,2007282957,210,4000,581,647,3932,295186
Ferry-pax only,1175,55,2003,1998,2003,2003,1141258566,169313244,876,4632,1975,2053,1473,110589
Refrigerated bulk,437,54,1993,1994,1993,1993,871788154,941350672,214,535,545,555,1097,82596
Ro-Ro,653,44,2007,2002,2008,2008,34424749055,15096934614,811,992,954,874,5953,449063
Other liquids tankers,10,6,2007,2006,2008,2008,312849559,398549499,1480,1382,1313,1295,64,4807
