Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,10726,1543,1023061,1134185,2006,2008,2010,2010,982,2010,2082,2034,77,137,284,284,16,21,22,22,103418.4,8003178,8156839,658998681,1931664968,2146594679,61439,203089,239221
Oil tanker,4826,1599,682137,1286929,2006,2007,2010,2010,653,2499,2997,3046,98,268,575,578,24,60,57,57,49355.0,3817956,3891260,429083355,775036406,846911007,88911,234591,291523
Bulk carrier,4696,2782,830268,1575375,2009,2009,2009,2010,2092,2824,3146,3183,198,281,518,521,21,72,59,59,46208.0,3577637,3646328,329842755,798901057,929958231,70239,235578,284482
Chemical tanker,4382,1248,76215,122824,2008,2009,2009,2009,812,1377,1377,1385,86,144,263,263,29,51,57,57,15842.9,1218988,1242393,72890537,277863376,329669168,16634,72049,87496
General cargo,2776,933,43304,59791,2005,2006,2008,2008,994,1683,1838,1833,101,176,350,351,28,73,66,65,7381.1,566982,577868,40104877,130443703,187215618,14447,69563,92866
Service - tug,2356,488,1203,1084,2009,2009,2009,2009,204,902,911,949,67,300,881,872,17,124,287,286,1180.7,88762,90466,27736680,65588899,87819990,11773,30399,41044
Service - other,1639,109,3085,3837,2014,2009,2011,2011,83,1262,206,174,11,182,773,542,7,107,556,363,677.7,51332,52318,26778380,54943357,59204794,16338,36355,41050
Liquefied gas tanker,942,254,113906,92143,2004,2006,2004,2004,1626,2249,3059,3002,128,180,253,254,38,106,289,267,15243.4,972935,991616,25227290,163602775,140098043,26781,220871,335563
Vehicle,451,161,40594,13691,2003,2006,2007,2007,771,3039,2107,2161,57,196,317,326,12,13,14,14,2600.3,201260,205124,13863939,61125105,70789102,30740,116844,125750
Ferry-pax only,344,34,247,55,1998,2001,1993,1996,527,1938,387,411,33,109,185,258,19,51,56,53,302.5,22713,23149,2914466,6576410,8366712,8472,20811,27468
Cruise,270,51,12175,1204,2002,2001,2006,2006,290,582,509,523,22,42,60,62,9,13,15,15,2340.2,181206,184685,1092930,17006345,22643253,4048,54974,69649
Ro-Ro,132,24,248,248,2009,2008,2002,2004,79,1532,850,692,28,229,307,303,12,262,115,151,253.1,19102,19469,403534,1890507,1158183,3057,7319,9084
Ferry-RoPax,39,10,346,88,1994,1996,1990,1991,1427,1796,2946,2887,68,400,1192,952,21,51,32,35,144.8,10876,11084,567819,1397006,1719271,14559,31137,29041
Miscellaneous - fishing,29,10,32,24,1999,2000,2000,1996,1158,1457,864,1017,185,206,454,407,13,15,17,22,34.4,2580,2629,166590,369529,420117,5744,13519,16026
Refrigerated bulk,27,22,298,316,1988,1986,1988,1988,1807,3204,2506,2476,178,589,552,526,17,156,50,51,295.2,22298,22726,938356,2050353,2309530,34754,74060,79963
Other liquids tankers,11,4,48,55,2014,2013,2009,2009,41,434,1378,1348,23,77,106,106,6,12,20,20,17.9,1359,1385,28156,80394,173329,2560,8868,14329
