Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Pulau Indah,6988,1976,640114,748014,2006,2007,2010,2010,925,2034,2246,2298,72,170,373,405,16,39,25,28,62755.6,4854876,4948090,410033334,1153627204,1316348994,58677,195330,231134
Pengerang,5537,3150,1030586,1922535,2008,2008,2009,2010,1778,2620,3055,3070,177,271,491,495,15,40,29,29,57701.1,4456430,4541994,466966811,1007413190,1124992735,84336,253280,310241
Tanjong Bin,3297,1224,453861,555776,2007,2007,2011,2011,1420,2211,2552,2564,109,222,315,340,22,52,38,44,42657.6,3301357,3364744,261414178,750356260,821590215,79288,262097,314660
Pasir Gudang,2740,1204,49561,78353,2007,2008,2008,2009,330,1435,1621,1675,66,181,387,403,20,55,98,82,8297.7,635207,647402,47159923,131145762,157050027,17212,60814,75509
Port Klang,2264,918,87347,113365,2006,2007,2008,2008,636,1489,1259,1555,70,151,300,373,17,50,40,50,11567.0,893974,911138,67717616,197450311,228189253,29911,101425,120939
Muar,1900,219,13241,19745,2014,2008,2012,2012,83,991,636,630,11,130,449,485,7,44,55,67,1197.2,91690,93450,19063705,43048821,47729357,10034,26468,31351
Tanjung Gelang,1126,630,18563,29416,2006,2007,2008,2008,593,1148,1196,1245,53,120,221,230,32,98,180,200,3102.5,238424,243002,16460639,49078096,60277391,14619,56654,69921
Bintulu Port,1030,570,105249,101495,2006,2008,2004,2005,1856,1946,2708,2548,135,177,231,238,59,113,137,137,13632.1,881020,897936,35924114,172389416,167439451,34878,209136,299291
Tanjung Pelepas,1020,258,33230,37852,2005,2006,2006,2007,627,1073,1208,1175,53,95,179,181,14,17,18,18,4548.0,351637,358388,28668120,89697808,100043796,28106,95406,112020
Sungai Udang,635,503,102101,187933,2006,2007,2010,2010,789,2285,3832,3977,89,217,713,726,27,74,118,120,8131.2,622568,634521,60809897,123233249,134702410,95764,272535,340091
Lumut,584,404,111909,217984,2008,2008,2011,2011,1205,2062,4240,4372,123,211,694,702,101,129,169,170,5855.5,453034,461732,38708935,104334638,118956690,66282,220454,272969
Pulau Pinang,574,235,16723,18212,2004,2006,2007,2007,505,1318,979,1366,51,127,209,270,20,63,40,54,2616.6,201948,205826,13470820,42613528,49489370,23468,83691,99613
Kampung Tanjung Langsat,548,422,20068,33433,2008,2009,2010,2010,686,1685,1876,1904,128,222,519,525,31,62,83,81,3267.6,252054,256894,19803089,49983808,59287689,36137,119228,145979
Port Dickson,508,328,20384,33450,2008,2008,2009,2009,588,1411,2014,2024,55,145,389,387,46,52,69,74,2447.6,187728,191332,15762674,37533811,43049131,31029,95186,117126
Labuan,451,236,13625,16488,2007,2007,2004,2005,1073,2006,2627,2115,96,197,323,287,53,211,1359,790,1893.0,140586,143285,18102061,49690114,59058561,40138,127947,168726
Kemaman,348,201,7608,13296,2008,2008,2011,2012,719,1619,2702,3054,94,231,672,691,49,157,92,85,1004.9,77039,78518,12957410,27968346,35486104,37234,104777,135084
Sandakan,294,170,5188,8348,2004,2007,2009,2009,1192,1664,1624,1703,102,181,236,243,37,89,65,64,957.5,73649,75064,5936738,19359382,23600839,20193,79564,97621
Senari - Sarawak,276,137,3148,4211,2004,2006,2006,2006,822,1478,1273,1504,68,144,266,314,37,79,80,92,633.0,48534,49466,4321823,11722935,14740057,15659,55530,68705
Lahad Datu,230,172,4895,7929,2006,2007,2009,2009,1311,1848,1712,1708,114,192,289,287,60,103,121,122,905.0,69601,70938,5202171,16406198,20455044,22618,90602,111171
Kertih,218,148,3695,5883,2008,2008,2007,2007,748,1182,1024,995,68,111,177,167,36,49,64,63,676.5,52085,53085,4577242,12074440,14154809,20997,71821,88763
Tawau,215,105,2572,3472,2001,2006,2005,2007,1092,1898,1287,1514,76,194,632,605,37,100,117,130,512.4,39115,39866,4087777,11160027,14552516,19013,64010,79292
Johor,215,70,2590,3991,2005,2011,2013,2013,285,966,1600,1565,41,197,344,352,19,63,147,99,452.9,34928,35599,2860202,6806004,7602276,13303,39019,48626
Malacca,185,144,14672,25910,2006,2007,2008,2008,816,1727,2808,2932,112,208,634,630,27,63,102,109,1512.8,116841,119084,10077178,21046470,24004471,54471,159357,196474
Kota Kinabalu,160,109,4788,6861,2005,2006,2008,2009,1033,1432,1488,1832,79,142,224,258,44,84,57,64,663.0,51094,52075,4329493,12306081,15036735,27059,91994,115613
Perai,159,128,5064,8285,2007,2008,2010,2010,703,1920,2142,2179,117,206,560,565,42,85,124,125,730.3,56278,57359,3792769,10523471,13387116,23854,96288,119182
Melaka,147,111,5528,8941,2003,2006,2009,2010,680,1398,1726,1919,60,144,359,408,10,47,100,72,740.5,56544,57630,4291395,10286746,11738382,29193,89841,111929
Kuala Selangor,142,122,7298,12531,2005,2005,2007,2007,881,1544,2150,2321,104,192,428,451,14,33,44,46,886.7,68519,69835,4768121,12336081,14143687,33578,114578,139907
Tanjung Manis,131,90,2145,3105,2006,2007,2008,2008,976,1609,1551,1592,77,181,222,225,50,89,80,81,363.3,27887,28423,2200107,6610203,8787999,16795,69083,88464
Penang,127,89,2285,3658,2009,2008,2008,2008,442,1347,1618,1678,69,158,352,360,44,119,135,140,337.4,25932,26429,2328676,5504701,6934708,18336,63658,78141
Miri,123,88,4894,6060,2008,2008,2009,2008,985,1336,2095,1683,185,225,290,257,31,90,71,60,555.5,37281,37997,3419165,10637640,11180045,27798,102216,142488
Sapangar Bay,99,55,1916,3004,2004,2005,2004,2004,1014,1347,1397,1543,85,118,159,172,26,49,34,34,280.5,21568,21982,2100014,5987979,7135895,21212,74288,90868
