Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Pulau Indah,1524,519,14568,16772,2003,2006,2003,2004,243,557,494,455,34,98,137,128,20,47,40,46,2994.1,229434,233839,16943280,51040950,59012431,11118,37947,45750
Port Klang,1169,383,7295,7737,2001,2005,2001,2003,268,509,388,401,35,83,83,94,24,66,48,68,1886.6,144364,147135,10621507,32063299,39373583,9086,30644,38085
Pasir Gudang,1165,464,6413,9095,2005,2007,2006,2006,284,546,487,484,36,91,138,146,22,65,66,65,1577.9,119508,121802,7848270,23214387,27647413,6737,24324,30304
Tanjong Bin,874,315,7021,9962,2002,2005,2005,2005,212,550,387,439,29,132,283,340,24,68,62,66,1441.7,110418,112538,8641219,20749604,23635222,9887,30642,37011
Pengerang,802,481,8180,13606,2005,2007,2007,2007,254,543,568,558,33,93,131,130,29,75,104,102,1281.0,97012,98874,7311292,16362216,18959509,9116,28002,35364
Pulau Pinang,700,225,6713,6320,2004,2005,2002,2005,249,563,364,354,22,94,215,136,17,55,46,50,1585.2,122017,124360,7796515,24279517,28138431,11138,37469,44714
Tanjung Pelepas,623,139,3710,4666,2006,2005,2007,2007,185,386,362,365,21,58,81,93,13,51,43,44,705.7,54260,55302,5614853,16254589,18064436,9013,28424,33445
Bintulu Port,558,224,7427,9907,2004,2006,2006,2005,661,885,981,904,64,150,212,165,27,92,71,81,1510.6,112906,115074,8990716,25831275,29739399,16112,54601,69906
Labuan,449,156,2842,4021,2007,2007,2004,2005,455,1188,813,771,51,380,309,227,32,231,154,128,991.9,75182,76625,10354032,25898926,32188192,23060,62956,82528
Senari - Sarawak,431,132,2295,2527,2003,2005,2003,2004,554,624,682,708,50,77,86,99,26,67,56,63,560.6,42814,43636,4204539,11346152,13651470,9755,30582,37523
