int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - other,3,2,2006,2008,2003,2004,6466110,3595381,892,1558,1764,1673,2,144
Container,23,1,2007,2007,2007,2007,118235551,154302601,822,822,823,823,34,2590
Liquefied gas tanker,2,2,2014,2014,2014,2015,1474827664,1118781249,6717,6717,6067,6622,166,10079
General cargo,155,34,2004,2002,2003,2003,825664967,1227226920,860,2365,1150,1173,233,17807
Ferry-RoPax,2,1,2007,2007,2007,2007,5448432,1258809,2402,2402,2402,2402,5,368
Ro-Ro,2,2,2016,2016,2016,2016,5294285,6721088,4073,4073,4208,3940,75,5600
Oil tanker,25,6,1996,1998,1999,1998,215935445,353226699,1585,2400,656,631,63,4780
Ferry-pax only,1,1,2004,2004,2004,2004,1937106,214549,1208,1208,1208,1208,1,53
Offshore,7,2,2004,2000,2007,2005,7686927,2683235,2082,1962,3562,2651,21,1585
Bulk carrier,10,9,2007,2009,2013,2013,724127453,1340784849,2160,4603,2230,2226,66,5096
Chemical tanker,4,3,1995,1997,1993,1992,297768448,520738116,3291,5960,6283,6391,75,5743
Cruise,3,2,1990,1988,1988,1987,90635846,13312881,447,830,616,647,17,1307
Service - tug,1,1,2012,2012,2012,2012,4590000,4229512,1661,1661,1661,1661,3,210
