int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,7736,1408,2007,2008,2010,2009,283436231142,320445609074,740,818,888,885,34710,2682079
General cargo,1686,680,2004,2005,2005,2005,18606888420,25540182228,806,1357,1495,1481,3374,258709
Chemical tanker,822,484,2009,2009,2009,2009,15753756731,25499191631,1071,1350,1528,1535,3029,233151
Oil tanker,521,315,2008,2008,2007,2007,30943802465,54856347318,1329,1716,1754,1771,4046,312043
Vehicle,462,154,2006,2007,2008,2007,13793588454,4628660746,337,888,823,844,1097,84709
Service - tug,112,59,2011,2010,2009,2007,178159961,144761806,507,2000,1349,1460,233,17561
Bulk carrier,2262,1548,2007,2008,2008,2009,201070787698,357756294783,1508,2147,2329,2338,14073,1089532
Liquefied gas tanker,413,151,2007,2008,2012,2012,29447504822,26164040661,641,2217,3481,3453,3409,235287
Offshore,42,34,2009,2010,2005,2003,444376906,633595139,882,1347,1268,1210,140,10525
Cruise,135,43,2006,2002,2006,2004,10161934675,1087183185,599,1320,767,809,1934,149803
Service - other,41,16,2007,1998,2000,2005,218001026,165614331,311,1311,1314,1202,102,7731
Other liquids tankers,2,2,2010,2010,2005,2006,4365896,4608314,1718,1718,1894,1858,4,319
Ferry-pax only,3237,91,1999,2000,2000,1999,904055281,83099029,280,1084,502,487,1369,102783
Miscellaneous - fishing,20,9,1986,1992,1995,1997,36151245,29526915,1546,3417,3807,3325,32,2396
Ferry-RoPax,12,11,1997,1999,1999,1996,158280041,33039564,1276,1919,1612,1647,90,6662
Refrigerated bulk,10,9,1995,1997,1992,1992,167724832,189526280,1504,3109,3478,3540,137,10364
Ro-Ro,4,3,2001,2003,1996,1996,42373720,40002859,1647,1173,1675,1666,12,966
