dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,369,34,2010,2009,2008,2008,571301281,907204835,222,423,716,719,991,74488
Ferry-pax only,2285,74,2005,2000,2003,2002,918978592,102521394,352,622,631,627,1189,89272
General cargo,168,13,2004,2002,2002,2003,80339866,132452196,486,990,736,824,24,1818
Liquefied gas tanker,3,3,2007,2007,2009,2009,7686037,6882584,730,788,748,764,4,318
Chemical tanker,11,11,2010,2010,2007,2007,53149174,77730667,153,543,359,339,20,1502
Miscellaneous - fishing,1,1,1979,1979,1979,1979,1508013,1149901,3285,3285,3285,3285,2,155
Container,213,25,1994,2002,2002,2002,1048185149,1227344905,315,1583,926,950,375,28560
Bulk carrier,6,5,2009,2008,2003,2003,91025687,154761735,1082,1209,855,825,20,1578
Service - other,107,6,2011,2001,2008,2007,172652676,181834458,405,340,589,628,85,6398
Service - tug,184,16,2010,2006,2006,2007,109847501,55838533,565,835,1225,1125,239,17975
Ferry-RoPax,85,4,1984,1981,1981,1982,44278299,18676231,225,1267,684,604,100,7501
Cruise,2,2,1994,1994,2005,2000,564635492,68495235,5499,5499,3338,3688,324,25110
