Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-RoPax,344,5,6899,2169,2009,2003,2009,2009,787,858,786,785,45,56,46,46,3,8,5,5,1743.0,130865,133378,13477503,33328797,40894649,39179,83631,76170
Service - tug,72,9,7,4,2007,1999,2004,2007,188,326,358,312,186,375,1202,1017,42,56,198,174,45.5,3415,3481,112322,265608,355634,1560,4028,5439
Miscellaneous - fishing,46,10,10,3,1983,1983,1983,1983,1037,1925,1925,1791,139,213,583,563,116,233,1394,1303,78.5,5892,6005,20713,45946,52236,450,1060,1256
Service - other,38,11,54,69,1980,1989,1990,1992,422,603,606,655,113,191,432,497,41,93,95,105,54.2,4072,4150,478448,981669,1057808,12591,28016,31635
Oil tanker,5,2,4,6,1985,1998,1999,2001,106,125,54,51,109,142,524,486,60,124,290,272,43.0,3232,3294,14162,6299,7882,2832,7299,9270
Bulk carrier,5,5,18,30,2013,2013,2014,2014,147,135,137,137,53,61,74,75,41,52,53,54,3.1,236,240,8935,25324,35414,1787,8327,10571
General cargo,4,4,1,1,1994,1994,1995,1993,69,161,85,91,56,84,89,99,22,24,24,23,0.8,58,60,3535,10223,14477,884,3115,4257
Chemical tanker,3,3,3,4,2006,2006,2003,2004,69,87,61,57,62,57,43,45,22,28,25,25,3.7,275,280,3969,12261,14472,1323,4549,5368
Container,2,2,27,32,2003,2003,2004,2004,1075,1075,1073,1074,161,161,161,161,19,19,21,20,8.8,657,670,48419,145156,164669,24210,75794,88634
Refrigerated bulk,1,1,1,1,1978,1978,1978,1978,512,512,512,512,118,118,118,118,5,5,5,5,1.1,84,85,2165,4730,5328,2165,4613,4981
