int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,989,193,2007,2007,2006,2006,98454954236,119915031522,1420,2571,2768,2758,13751,1064553
Service - tug,9,9,2010,2010,2007,2006,3683341,3617820,224,784,897,1010,13,955
General cargo,158,82,2008,2009,2010,2010,8327516279,12195750978,1771,3358,3199,3218,1090,83857
Bulk carrier,650,372,2012,2012,2012,2012,62496020968,102096959956,4831,4037,4118,4152,5566,430522
Chemical tanker,142,83,2011,2012,2012,2012,12364562564,20263012175,3139,3839,3943,3943,1761,135497
Oil tanker,108,77,2008,2008,2007,2007,28301363647,51096136933,5209,5687,5768,5804,2702,209284
Vehicle,205,110,2007,2008,2007,2007,41807439848,16116390531,1717,3731,3600,3978,2885,223413
Refrigerated bulk,55,21,1997,1996,1996,1996,2783007784,3043885595,4189,5227,4947,4925,1087,83087
Cruise,121,40,2001,2000,2003,2002,13890061117,1326536834,1388,1396,1360,1367,3036,235111
Offshore,8,8,2000,2000,1985,1982,299893117,286381952,1496,2571,3579,3830,52,3908
Ferry-pax only,2,2,1982,1982,1981,1981,72848231,26177240,3399,3399,5184,5196,42,3230
Service - other,21,16,2001,1999,2001,1999,438724599,447938819,1752,1796,3453,4229,194,14694
Miscellaneous - fishing,43,40,1992,1993,1996,1995,443343694,226818100,3510,7159,5987,6025,283,21284
Ferry-RoPax,8,6,2000,2000,1999,1999,99520280,30443632,337,496,603,601,26,1971
Liquefied gas tanker,23,6,2010,2009,2010,2010,922034301,843768702,1362,2121,4076,3858,142,10968
Yacht,4,1,1968,1968,1968,1968,4682152,2611465,2628,2628,2409,2409,6,465
Ro-Ro,1,1,2014,2014,2014,2014,2592465,2403157,5259,5259,5259,5259,4,332
