dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1303,315,2010,2012,2011,2011,10235974701,16113208464,317,430,415,419,1239,95544
Chemical tanker,511,63,2014,2012,2015,2015,5214515028,8697413774,365,405,422,422,931,71741
Container,2123,131,2007,2007,2007,2007,23675768459,28969189049,295,302,352,352,3891,300691
Oil tanker,182,28,2009,2008,2008,2008,937262751,1507826705,105,378,367,371,285,21877
Refrigerated bulk,69,10,1998,1997,1997,1997,336406712,380067189,608,542,525,524,192,14603
General cargo,153,40,2005,2011,2010,2011,997863508,1495288883,393,380,410,407,180,13713
Cruise,553,38,2002,2000,2005,2004,10449991461,1006402621,195,344,240,240,2340,181093
Offshore,19,4,2005,2003,1985,1984,93542264,72767302,527,800,1251,1455,76,5818
Vehicle,223,45,2006,2007,2006,2006,4206103441,1260393330,194,271,353,348,294,22753
Ferry-pax only,1,1,1982,1982,1982,1982,8701842,3058471,4933,4933,4933,4933,4,328
Miscellaneous - fishing,279,34,1990,1992,1992,1992,1659830120,850982817,1365,3263,3074,3158,710,53535
Ferry-RoPax,394,5,2000,1999,1998,1998,6382342066,1977136953,173,328,868,866,1668,127700
Liquefied gas tanker,116,4,2011,2010,2012,2012,155184840,169472690,243,273,326,326,94,7156
Service - tug,72,8,2008,2010,2005,2004,47679986,49069501,512,849,946,946,79,5900
Service - other,85,10,2006,2004,2001,1998,470737786,556015033,747,1004,1568,1645,132,9981
