Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,1737,177,28078,33706,2006,2006,2006,2006,728,776,711,702,48,61,78,77,14,17,19,19,4966.3,383185,390542,33589323,105318294,116803028,19338,62865,73191
Chemical tanker,320,201,10421,17246,2010,2010,2011,2011,1136,1505,1465,1469,120,152,262,262,31,43,58,58,1788.1,137658,140301,5034005,27948079,32529488,15731,101630,124334
Bulk carrier,275,238,15884,26678,2011,2011,2012,2012,1165,2216,2146,2172,146,239,459,463,77,94,104,104,1584.0,122481,124833,9957876,22492667,28931008,36210,132453,159338
Refrigerated bulk,203,21,2666,2521,2003,1997,2004,2004,983,997,1007,1014,56,64,87,89,20,36,27,27,1105.2,84341,85960,7477874,16339517,18404929,36837,78499,84755
Vehicle,120,95,9427,3197,2008,2008,2007,2007,728,1387,1377,1410,48,92,288,289,7,8,9,9,587.3,45489,46362,3236944,14271451,16527795,26975,102530,110345
Cruise,109,48,3335,345,2003,2003,2003,2003,242,482,498,503,16,34,57,59,9,10,9,10,832.4,64429,65666,1734507,7220162,7641352,15913,58198,57008
General cargo,94,71,3888,5793,2006,2009,2010,2010,1069,2201,2457,2503,100,205,423,425,44,67,75,75,477.2,36677,37381,2506810,8862931,12988988,26668,150501,204403
Oil tanker,37,32,1192,2065,2006,2006,2006,2006,906,889,864,853,107,108,165,164,29,37,35,35,192.5,14876,15161,1688381,3144626,3932263,45632,116982,142939
Service - tug,34,5,3,2,1970,1982,1977,1974,62,897,375,328,9,141,213,220,10,56,38,30,9.1,682,695,48058,113643,152162,1413,3650,4928
Liquefied gas tanker,19,4,1044,1208,2010,2011,2009,2009,1803,1713,1919,1935,187,203,197,197,90,103,125,128,191.5,14786,15070,394239,2198984,1955514,20749,157008,232738
Miscellaneous - fishing,8,6,135,118,1988,1985,1996,1996,6194,7705,8929,9548,584,747,1634,1693,124,108,134,134,83.9,6296,6417,828081,1836843,2088304,103510,243606,288780
Ferry-pax only,2,1,23,8,1973,1973,1973,1973,927,927,927,927,89,89,89,89,300,300,302,302,6.1,468,477,215271,606281,785328,107635,300257,397318
Ferry-RoPax,1,1,2,0,2007,2007,2007,2007,190,190,190,190,37,37,37,37,6,6,6,6,0.7,49,50,1161,2872,3523,1161,2479,2258
Ro-Ro,1,1,10,9,1985,1985,1985,1985,1015,1015,1015,1015,106,106,106,106,25,25,25,25,2.1,163,166,10175,18749,21860,10175,23915,25386
