Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,1736,177,34140,40964,2006,2007,2007,2007,818,1017,866,855,52,67,109,108,16,22,26,26,6037.2,465390,474325,38208334,121418435,134655054,22009,73016,85313
Chemical tanker,323,202,8532,14117,2010,2010,2010,2010,970,1529,1191,1194,86,146,313,315,41,51,80,80,1525.0,117373,119627,4701922,23977524,27928587,14557,85965,104680
Bulk carrier,273,236,12601,20801,2011,2011,2011,2011,1187,1763,1712,1702,123,188,331,329,55,95,100,100,1245.5,96223,98070,8019739,18399229,24377935,29376,109946,133533
Refrigerated bulk,202,21,5540,5401,2003,1997,2001,2001,1804,3451,2101,2180,108,204,172,180,38,52,47,47,2133.0,162902,166030,16024265,35013796,39439749,79328,169047,182520
Vehicle,121,96,9705,3139,2008,2008,2009,2009,482,1530,1408,1376,43,113,365,363,9,18,31,30,535.9,41487,42284,3178764,14014942,16230731,26271,99855,107466
Cruise,108,47,3983,405,2003,2003,2003,2002,469,605,592,588,35,43,65,66,8,9,9,9,1002.9,77517,79006,2043542,8444080,8921902,18922,68795,67375
General cargo,94,71,3385,4921,2007,2009,2009,2009,1044,2099,2134,2124,95,204,426,424,59,96,118,116,457.2,35110,35784,2176386,7658197,11217161,23153,129329,175734
Oil tanker,38,33,1754,3090,2006,2006,2006,2006,1117,1217,1234,1239,100,134,197,198,38,47,50,50,262.7,20232,20620,2452448,4118612,5388370,64538,155040,193014
Service - tug,35,5,5,4,1970,1982,1973,1971,372,744,692,688,10,136,110,101,103,107,167,167,18.9,1420,1447,103856,245588,328829,2967,7662,10345
Liquefied gas tanker,19,4,728,813,2010,2011,2010,2010,923,1548,1339,1302,67,132,147,142,43,48,76,73,123.9,9557,9740,346905,1549631,1467612,18258,122330,174404
Miscellaneous - fishing,7,5,11,9,1988,1985,1998,1999,1004,728,802,838,66,76,98,101,24,188,432,431,8.3,623,635,64578,143247,162857,9225,21712,25738
Ferry-pax only,2,1,15,5,1973,1973,1973,1973,617,617,617,617,256,256,466,466,910,910,1585,1585,12.2,917,935,143179,403244,522331,71590,199704,264261
Ferry-RoPax,1,1,2,0,2007,2007,2007,2007,172,172,172,172,20,20,20,20,6,6,6,6,0.6,45,46,1053,2604,3195,1053,2248,2047
Ro-Ro,1,1,10,9,1985,1985,1985,1985,936,936,936,936,92,92,92,92,3,3,3,3,1.9,148,151,9377,17279,20146,9377,22039,23395
