Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Genova,2262,528,45635,38242,2001,2005,2005,2006,461,949,643,803,30,83,112,124,12,34,26,27,7856.5,606510,618155,38445712,108887552,126883191,16996,51707,58572
Livorno,1646,687,42247,26688,2002,2005,2006,2006,527,994,722,965,40,102,119,152,12,35,27,37,5642.1,432293,440593,23715387,80164730,92904592,14408,50452,58910
Venezia,1391,552,33816,27468,2004,2004,2006,2007,824,1250,786,1037,62,121,122,175,13,42,37,64,6300.2,486797,496144,25073710,82412169,93274800,18026,66667,75831
Ravenna,1112,661,16292,25338,2003,2004,2006,2006,987,1115,1154,1205,89,117,140,140,22,56,67,69,2221.4,170918,174199,16114509,44203246,57994808,14491,54751,69036
Trieste,1089,181,39971,23249,2006,2003,2008,2008,1185,858,987,854,65,84,112,113,15,33,25,29,6488.0,502345,511990,21001085,44057084,52659553,19285,51424,57100
Savona,888,250,17581,8368,2002,2004,2007,2006,370,1160,575,845,28,104,139,165,10,47,26,61,2415.9,186792,190379,7700526,26549556,32737702,8672,31502,36566
Gioia Tauro,759,218,53996,53836,2004,2005,2008,2007,768,1501,1407,1335,66,115,178,173,18,38,27,28,5889.7,455435,464179,35432659,100742651,112664642,46683,147754,171958
Bari,695,110,9216,3023,1996,2002,1996,2000,296,1153,512,648,18,111,568,566,9,60,126,117,2292.3,176514,179903,10672074,28201687,33597957,15356,37680,36786
Augusta,678,376,13738,21781,2006,2007,2009,2009,824,1385,1270,1242,84,137,259,255,29,62,59,60,2585.4,199035,202856,13966541,39689096,46374596,20600,77168,96326
Napoli,616,281,16810,11467,2006,2004,2010,2007,768,924,843,1049,70,104,95,130,20,38,24,33,2818.2,217430,221605,10196490,37273820,45184913,16553,68994,84619
La Spezia,603,235,21196,23415,2007,2006,2010,2010,401,765,672,718,33,65,95,94,16,26,23,23,2628.3,202795,206689,14068589,39426895,45918968,23331,78722,93057
Sarroch,556,325,18210,31419,2007,2008,2008,2008,756,1246,1102,1103,72,127,257,261,34,47,54,54,2525.2,195158,198905,12247631,40001521,45692674,22028,88090,107951
Ancona,551,100,11441,6964,1997,2003,2004,2008,524,921,761,926,23,89,86,121,12,37,43,47,2847.4,219747,223966,12854072,33052020,39831551,23329,56558,57621
Civitavecchia,536,199,20620,9800,2006,2006,2008,2010,497,1251,772,1271,37,130,162,311,9,30,22,46,3295.4,254803,259695,10696765,35983717,41668085,19957,66810,71720
Cagliari,460,200,10532,7291,2005,2003,2007,2006,691,1048,629,928,48,97,73,117,13,43,27,41,1879.0,145277,148067,7103718,23396532,27862806,15443,55023,65375
Voltri,438,170,23097,24998,2008,2007,2008,2008,373,704,570,574,30,50,88,89,21,27,27,27,2364.0,182928,186441,14610743,38313617,44166887,33358,106078,124513
Muggia,438,249,31579,58538,2009,2009,2009,2009,1092,1187,1191,1190,102,117,139,139,18,34,37,37,2436.1,188689,192311,27877674,57956788,64447876,63648,161239,199919
Brindisi,431,169,6168,6314,1997,2003,2005,2009,447,1062,740,1119,26,110,192,220,10,39,43,43,1188.3,91427,93183,6540950,17613199,21512038,15176,45810,51005
Taranto,399,325,14452,26303,2007,2007,2010,2010,1076,1480,1573,1587,104,183,312,312,25,54,62,61,1397.3,107664,109732,8951154,24333498,30303200,22434,83818,104564
Sestri Ponente,362,294,13556,23722,2006,2007,2009,2009,831,1134,1248,1273,87,114,204,207,22,41,36,36,1536.9,118746,121026,11040265,29488352,34057652,30498,98091,121441
Porto Torres,347,93,8079,4429,2003,2005,2005,2008,368,1246,643,1232,15,129,90,251,9,59,74,97,1712.3,132030,134565,7171483,18567807,23223068,20667,53438,57210
Fusina,344,65,11972,4849,2005,2007,2006,2008,710,1209,989,1016,34,98,55,108,16,36,40,36,2792.4,215773,219916,11639740,29699467,36002506,33836,81198,79979
Monfalcone,325,199,6688,7555,2002,2002,2006,2005,1130,1309,1073,1362,105,131,170,192,14,42,40,47,913.9,70447,71799,4521891,14992133,21073330,13914,63915,83694
Vado Ligure,313,112,7105,9873,1999,2003,2003,2005,589,1051,889,1116,44,96,162,174,13,43,58,62,1325.7,101859,103815,8470675,19074257,22093125,27063,66604,76789
Porto Di Corsini,306,230,3559,4961,2002,2004,2005,2005,920,989,1023,1156,90,104,143,150,23,50,56,61,762.3,58542,59666,4300805,13120042,16199565,14055,52868,65753
Santa Panagia,293,225,13710,24822,2006,2006,2008,2008,731,1243,1330,1362,82,129,345,353,34,69,64,63,1641.4,126944,129381,10364404,25508387,28980775,35373,111565,136918
Cetara,285,113,10032,7154,2004,2005,2006,2007,769,1054,1148,1237,56,83,114,121,13,38,21,24,1188.5,91784,93546,7247563,21690236,24602180,25430,77612,87890
Piombino,268,133,1224,1373,2000,2003,2001,2005,330,740,638,715,41,84,97,112,24,59,66,82,264.2,20146,20533,2266660,6308989,8483596,8458,27563,34642
Pozzallo,256,152,2778,3404,1998,2000,2006,2006,662,962,1264,1182,54,101,197,230,28,53,44,50,568.7,43277,44108,2838562,7643382,9682970,11088,36412,44486
Milazzo,256,189,7291,12727,2005,2005,2010,2010,793,975,1041,1041,82,109,206,208,28,60,52,50,1044.2,80606,82154,5979401,14938399,17657175,23357,74811,93883
Chioggia,254,125,544,741,1986,1997,1996,1996,671,982,818,849,56,126,140,140,30,77,62,59,179.7,13658,13921,1716711,4750075,6508984,6759,23073,30668
Palermo,245,52,4470,799,2001,1998,2008,2003,203,749,409,435,14,76,39,57,6,38,24,34,886.9,68403,69717,2651721,9715289,12556077,10823,36142,40638
Siracusa,244,199,8635,15602,2002,2004,2009,2009,725,1045,1230,1298,72,118,406,422,28,58,63,64,1106.4,85454,87094,7094423,16264164,18920648,29076,86952,106663
San Cataldo,239,104,3123,2558,1999,1999,2004,2006,601,1036,772,1156,38,102,147,250,14,42,40,47,710.3,54705,55756,3934726,10583994,13214083,16463,45947,50164
