Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-RoPax,13444,153,100086,21105,1994,1988,1997,1997,203,1399,282,316,12,204,120,194,8,51,30,39,28142.6,2155643,2197031,164406034,393990211,492441735,12229,26400,27514
Ro-Ro,5114,79,45867,20566,2005,2005,2006,2005,297,345,348,346,19,24,60,71,7,22,32,39,8908.8,690057,703306,22152206,41439730,47750455,4332,10183,10828
Container,4503,464,44539,51294,2004,2005,2007,2007,148,233,251,252,17,22,46,45,19,28,29,29,6291.8,485564,494887,37044843,107777066,121829081,8227,26859,31578
Chemical tanker,4093,388,26654,41474,2003,2007,2005,2006,385,536,538,541,36,55,79,79,31,49,58,58,8289.9,637409,649647,22087805,89092568,105729567,5396,24865,30362
Ferry-pax only,3115,95,1933,467,1995,1993,1995,1999,797,2683,1889,1969,33,298,743,811,14,63,164,174,3127.2,234798,239306,38457833,78322974,98662743,12346,28710,37849
General cargo,3109,867,8242,11904,2001,2001,2005,2005,293,410,448,450,33,48,74,73,32,63,68,69,2106.3,160671,163756,13758050,41837227,59373266,4425,18169,24295
Cruise,2477,131,38096,3547,2002,2001,2009,2008,180,206,224,224,14,17,24,25,10,12,18,18,9171.3,709492,723114,9607127,58511320,70806233,3879,21108,24394
Service - tug,1270,140,705,499,2000,2000,2004,2003,393,584,661,673,66,410,984,1063,35,121,223,246,1572.0,118057,120323,12768396,30193413,40427348,10054,25961,35052
Other liquids tankers,691,10,320,480,1967,1971,1972,1972,209,422,427,419,17,34,92,92,15,40,117,119,701.0,53939,54975,246115,702732,1515091,356,1234,1994
Bulk carrier,576,303,8154,13912,2007,2008,2010,2010,448,605,663,664,43,71,131,129,58,97,153,151,961.2,74217,75642,6418666,14947483,18686357,11144,39283,47970
Oil tanker,548,219,10420,19049,2007,2008,2007,2007,260,457,439,438,49,69,134,133,31,40,54,53,1962.9,151091,153992,9783927,18912465,21163845,17854,46559,57186
Liquefied gas tanker,538,52,4363,4572,2006,2009,2007,2007,471,638,941,894,37,51,305,276,30,42,40,42,1081.3,78234,79736,2526418,9207613,9323293,4696,28449,39069
Vehicle,478,83,6581,2243,2004,2006,2006,2005,221,282,304,300,17,25,31,32,11,14,19,18,503.7,39002,39751,2271619,10015402,11598857,4752,18064,19440
Service - other,290,46,405,242,1993,1993,2000,1999,365,779,952,844,56,331,553,709,37,100,253,242,388.1,29142,29702,1690649,3468840,3737885,5830,12972,14648
Miscellaneous - fishing,172,19,40,46,1988,1992,1990,1994,547,1970,1275,1495,56,200,517,603,42,78,182,168,177.4,13318,13573,323781,718209,816531,1882,4430,5252
Refrigerated bulk,4,4,5,6,1998,1998,1990,1990,132,176,149,153,14,16,18,18,20,51,27,26,7.7,583,594,19014,41547,46799,4754,10130,10937
