int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Munger,4,4,2010,2010,1999,1999,255612894,491819557,356,543,1001,1004,14,1099
Tumkur,4,4,2000,2000,2003,2003,891683561,1721675307,476,1490,2531,2550,40,3092
Bedi,3,3,2006,2006,2000,1999,63085139,102722063,1495,1707,1968,1893,9,660
Mahe,3,3,2003,2003,1999,1999,143512958,235981565,660,982,1129,1133,15,1191
Nhave,1,1,2010,2010,2010,2010,381846,489954,128,128,128,128,0,12
Orissa,1,1,2011,2011,2011,2011,7590309,13090849,230,230,230,230,2,174
Magdalla,5,5,2005,2005,2008,2010,12615346,17460688,178,1576,995,1664,2,185
Quilon (Kollam),3,3,2006,2006,2001,2002,191298465,267011883,1944,1620,1695,1635,50,3856
Toranagallu,1,1,2019,2019,2019,2019,333167584,280082192,19912,19912,19912,19912,11,808
Tadri,1,1,2008,2008,2008,2008,4229940,6724052,234,234,234,234,1,41
Calicut (Kozhikode),1,1,1999,1999,1999,1999,8994467,11946948,352,352,352,352,1,100
Samalkot,1,1,2009,2009,2009,2009,3026534,1814166,675,675,675,675,0,0
Khodiyar,1,1,2008,2008,2008,2008,94800285,146256947,11114,11114,11114,11114,22,1729
Madurai,2,2,2000,2000,2003,2003,400449513,765983299,5020,5020,5047,5043,31,2414
Lapanga,1,1,1995,1995,1995,1995,144658500,250647716,5511,5511,5511,5511,8,653
Sikkim,1,1,1998,1998,1998,1998,197381898,363264480,3454,3454,3454,3454,22,1708
Rameshwaram,1,1,1996,1996,1996,1996,37994815,61614233,712,712,712,712,3,217
