int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Liquefied gas tanker,1217,374,2007,2007,2009,2009,165822812018,156377445128,1606,2989,2917,2867,20153,1387850
Container,4205,673,2006,2006,2007,2007,290759460329,335998942348,1208,1583,1526,1510,33707,2608081
Bulk carrier,5715,3357,2010,2010,2011,2011,918910163209,1696993359457,2798,3949,4116,4196,59839,4634089
Oil tanker,2255,1005,2006,2007,2006,2006,341234461940,633447367972,1457,2456,1998,1982,29811,2307041
General cargo,1572,718,2004,2006,2006,2007,37926493167,52884908601,1481,2422,2461,2484,6536,501895
Chemical tanker,2651,1017,2007,2008,2008,2008,86106662229,140089294246,1568,2211,2043,2044,15354,1183220
Service - other,123,99,2004,2003,2002,2001,2304911835,2659171119,1590,5048,4348,4527,796,60263
Vehicle,344,209,2007,2007,2007,2007,48786751760,16306691974,2392,2614,2577,2581,3142,243237
Service - tug,452,321,2005,2005,2006,2006,888703120,785027931,894,2255,2066,2080,1024,77020
Offshore,137,119,2004,2003,1997,1994,4005150426,6038158563,1262,3608,3562,5331,925,69411
Ferry-RoPax,5,5,1989,1989,1977,1983,228046396,50197564,4293,7344,5340,4165,108,8090
Cruise,57,41,2000,2000,1996,1994,3839672400,481517707,889,1972,1199,1291,1372,106249
Ferry-pax only,9,8,2001,2001,1998,1999,29684190,5366303,1638,6308,7572,8411,45,3356
Ro-Ro,22,13,2002,1998,2004,2005,2598770218,1276991091,2454,6085,4526,4064,458,35201
Refrigerated bulk,13,13,1987,1987,1988,1988,1789372242,1883516333,8442,14402,14695,14743,1664,125288
Miscellaneous - fishing,6,5,1987,1990,1997,1996,4495270,2007395,388,1395,702,577,5,393
Other liquids tankers,1,1,2007,2007,2007,2007,18571187,27917630,24340,24340,24340,24340,75,5644
