dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,5614,1566,2007,2010,2008,2008,109767392177,193799299701,444,632,748,747,10435,806863
General cargo,4029,351,2006,2005,2004,2005,11526305198,13865578448,231,789,660,617,2734,208540
Chemical tanker,2613,615,2007,2008,2007,2007,32839582406,53416848980,483,719,707,711,6837,526621
Container,3936,477,2005,2007,2006,2006,78812474230,93522939439,421,438,439,443,9639,744721
Service - tug,1336,239,2003,2004,2008,2007,1432971858,1252944301,340,996,1276,1325,1351,101517
Offshore,305,73,2006,2002,2008,2008,1713735152,1847553128,1211,1742,1671,1716,1035,77694
Liquefied gas tanker,699,116,2002,2006,2006,2006,17414900570,20046503044,479,836,1017,1041,2919,221018
Oil tanker,2143,287,2002,2004,2004,2004,64234946281,110545108455,633,753,908,905,10335,799533
Service - other,430,76,2003,2004,2004,2004,3504297644,4056119184,621,3493,2341,2436,1177,89136
Vehicle,96,68,2007,2007,2009,2008,4093277145,1371601270,447,712,750,749,246,19028
Ferry-RoPax,11,2,2007,1994,1981,1980,174700068,79690970,394,9716,2638,3008,79,5922
Ferry-pax only,29,7,2004,2004,2002,2002,64586650,8968958,3460,7139,5477,6101,117,8780
Cruise,77,31,2000,2000,2002,2000,1397760302,163962859,264,387,343,347,342,26516
Ro-Ro,4,4,1993,1993,1993,1995,9932710,6376974,139,243,209,277,5,400
Refrigerated bulk,5,5,1984,1984,1986,1986,459937819,550941239,240,9184,10089,11265,143,10882
Miscellaneous - fishing,48,3,1987,1997,1987,1987,70868470,30100440,490,2364,643,639,38,2831
Other liquids tankers,1,1,2007,2007,2007,2007,1619937,2435213,2123,2123,2123,2123,6,447
