int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,7777,2465,2005,2009,2009,2009,332149617483,588040729858,639,1600,1625,1658,29327,2266058
Oil tanker,3438,811,2008,2008,2008,2008,184756921827,343846209569,574,1062,1033,1041,19002,1468702
General cargo,17377,2270,1993,1996,1998,1999,67649504976,88138912534,453,874,871,826,15549,1185760
Container,5251,552,2004,2004,2006,2006,109458954994,129300658852,411,743,671,671,16209,1250541
Chemical tanker,4470,902,2006,2008,2008,2008,58720771835,94026283875,521,994,875,877,12853,988943
Liquefied gas tanker,759,189,2006,2007,2008,2008,48066709833,44939178797,661,2046,2135,2030,6486,456024
Service - other,73,45,1999,1996,2012,2013,1589086444,3469746166,360,850,1426,1506,316,23951
Service - tug,279,171,1998,2002,2006,2004,257362125,212754225,367,1035,1248,1176,344,25915
Vehicle,888,203,2004,2007,2007,2007,39665426591,13051356856,443,1408,1056,1060,2843,219751
Miscellaneous - fishing,92,33,1994,1996,1995,1993,63597084,70009673,377,2109,826,736,128,9638
Ro-Ro,1974,92,1993,1995,2007,2007,37963950401,17614964694,585,951,1031,967,7835,605019
Offshore,80,50,2005,2003,2000,2001,749036336,1114607171,699,1686,1485,1774,303,22900
Ferry-pax only,81,35,1995,1998,1993,1992,75687155,10189760,641,3504,2420,2479,140,10523
Ferry-RoPax,567,43,1982,1997,1984,1982,2362201540,964706383,306,818,359,346,924,70164
Refrigerated bulk,113,60,1993,1994,1993,1993,2196790680,2469483060,1311,2416,2473,2515,1176,89437
Cruise,130,25,1986,1994,1990,1989,963506147,91722575,181,281,259,236,306,23510
Other liquids tankers,2,2,2015,2015,2014,2014,39998525,55739860,711,711,716,711,3,228
