dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,5870,435,2004,2004,2006,2006,50428001387,58826276304,100,207,248,246,7735,596325
Oil tanker,4590,606,2007,2008,2009,2009,31314511513,57605769711,86,215,274,276,7154,550490
General cargo,17979,1815,1990,1995,1994,1994,18417004222,26423598675,177,250,302,301,6131,464453
Bulk carrier,2998,1226,2004,2007,2006,2006,26728269746,45612224870,204,330,348,342,3060,236168
Chemical tanker,5011,697,2006,2008,2007,2007,16622114486,26315348091,156,202,268,268,7126,544756
Miscellaneous - fishing,318,18,2004,2004,2006,2002,100279077,76234291,237,559,412,382,140,10529
Vehicle,603,94,2005,2006,2006,2006,3213799853,1051711476,79,192,130,133,351,27166
Service - other,234,33,2000,1997,2010,2011,514969214,724767731,179,552,382,293,279,20994
Ro-Ro,951,49,1984,1995,2000,1996,1689675301,957211108,59,362,201,175,576,44051
Offshore,89,24,2006,2006,2005,2004,234578229,252452734,441,671,421,378,165,12432
Service - tug,1080,111,2010,2005,2009,2009,228008799,142630335,131,636,495,413,767,57673
Liquefied gas tanker,745,91,1999,2006,2005,2005,4604444433,5435742667,158,371,397,403,1530,116887
Ferry-pax only,350,18,2008,2006,2008,2009,226468643,31071759,421,769,1184,1242,241,18067
Ferry-RoPax,227,28,1994,2001,2000,1996,1339002073,394975679,427,2987,1228,679,729,54835
Refrigerated bulk,8,7,1993,1993,1994,1994,19031327,20260215,93,337,310,318,18,1337
Cruise,14,3,1944,1955,1974,1972,10075371,1817159,178,191,268,266,72,5415
