int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Alanya,19,13,2003,2000,2007,2008,92664132,115861567,356,927,452,466,26,1989
Camalti,9,9,1993,1993,2002,2004,33284790,52309017,386,464,324,313,9,666
Karakoy/Istambul,4,4,1998,1998,2002,2001,37081402,55194281,1368,1269,1173,1145,8,623
Pasakoy,7,7,2003,2003,2007,2007,297112773,532775378,941,1426,2368,2425,35,2678
Akcapinar,2,2,1990,1990,1987,1985,1949085,427608,939,939,764,689,1,82
Akcaabat,9,8,2002,2002,2003,2003,67802559,102458495,410,449,628,646,18,1393
Sariseki,5,5,2000,2000,2007,2008,301827181,522872267,3341,3229,2401,2353,46,3532
Firuzkoy,2,2,1996,1996,2003,2003,41065994,69686947,463,463,505,505,10,737
Enez,3,3,1989,1989,1989,1989,458412,688856,3036,4811,2996,3831,7,530
Akcay,2,2,1985,1985,1985,1985,4594158,7507995,412,412,402,401,1,56
Hisaronu,5,4,1995,1991,1991,1991,10076809,16275792,495,594,580,585,4,302
Gerze,8,8,1985,1985,2000,2000,12041139,15082832,308,379,463,471,3,264
Pazar,4,4,1999,1999,2007,2007,12922926,23180294,121,160,178,177,11,836
Gocek,3,3,1962,1962,1985,1983,8977246,953817,521,7148,5514,2367,13,1005
Rota-Izmit Bay,1,1,2011,2011,2011,2011,765370555,1487531591,4657,4657,4657,4657,42,3194
Vakfikebir,2,2,1998,1998,2011,2004,1162718,746787,566,566,339,191,1,69
Menderes,1,1,1998,1998,1998,1998,221918354,426549703,1416,1416,1416,1416,157,12178
Uskudar,1,1,1980,1980,1980,1980,363669,483829,177,177,177,177,0,11
Erdek,2,2,1992,1992,2010,2010,20905639,30648413,478,478,820,820,2,178
