int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,3440,812,2008,2008,2009,2009,320573616159,598515760128,660,1699,1792,1811,33038,2553916
General cargo,17385,2271,1993,1996,1999,2000,69840666168,94652668290,442,930,898,886,16400,1250271
Chemical tanker,4478,905,2006,2008,2008,2008,70297844784,112752138930,538,1080,1046,1051,15573,1199272
Miscellaneous - fishing,96,37,1995,1998,1994,1991,78454873,92330851,479,1323,956,946,93,6980
Bulk carrier,7777,2465,2005,2009,2009,2009,329026069202,580670220891,574,1482,1609,1637,30453,2353936
Vehicle,888,203,2004,2007,2005,2005,53000432298,17655936055,1062,1579,1411,1434,3765,290928
Container,5253,553,2004,2004,2006,2006,131078948268,154853926054,467,904,804,803,19367,1494391
Liquefied gas tanker,759,189,2006,2007,2007,2007,45883224461,43595045816,750,1921,2038,1969,6064,439137
Service - other,73,45,1999,1996,2006,2010,1091740530,1658215653,427,1212,979,720,367,27762
Ro-Ro,1975,92,1993,1995,2007,2007,39063276224,18124254295,704,872,1060,994,7752,598574
Offshore,85,55,2005,2005,1990,1993,876025385,683908410,637,1976,1699,1076,415,31703
Service - tug,296,186,1999,2003,2005,2004,270335727,233741194,497,1311,1271,1262,519,39059
Ferry-pax only,81,35,1995,1998,1994,1995,69662446,11648157,570,3406,2227,2833,118,8837
Ferry-RoPax,569,45,1982,1998,1988,1984,2606949316,941047530,301,3509,395,337,1095,82967
Refrigerated bulk,113,60,1993,1994,1994,1994,1517360359,1681538789,1316,1671,1708,1713,808,61423
Cruise,130,25,1986,1994,1988,1987,1229208108,132106862,245,276,330,340,321,24765
Other liquids tankers,2,2,2015,2015,2016,2016,58324888,82632531,1054,1054,1044,1054,8,633
