int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,189,65,1986,1987,1991,1991,1911917195,2651649724,1072,1909,1718,1679,464,35375
Container,176,30,2000,1998,1997,1997,5364651669,6781206108,933,1592,1515,1512,936,72241
Chemical tanker,27,18,1999,2001,2003,2002,341506810,554772456,1814,1957,1831,1841,127,9681
Bulk carrier,54,21,1990,1997,1993,1994,766525188,1219843765,1358,1162,1281,1289,128,9774
Oil tanker,43,19,1990,1990,1994,1994,592124276,925043391,1787,2312,2221,2217,261,19822
Service - tug,6,6,2000,2000,1985,1984,57936728,68870677,925,12470,14437,20522,142,10661
Ro-Ro,24,6,1982,1987,1982,1982,68062057,44730807,361,674,550,572,51,3874
Yacht,8,1,1964,1964,1964,1964,1650489,2830375,293,293,281,281,2,120
Miscellaneous - fishing,1,1,1973,1973,1973,1973,620548,344971,903,903,903,903,5,374
Ferry-pax only,14,1,1981,1981,1981,1981,404943,107698,151,151,154,154,6,426
Service - other,1,1,1981,1981,1981,1981,2388799,1052919,1925,1925,1925,1925,2,138
