int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,176,30,2000,1998,2000,2000,3817148852,4735309323,782,971,1078,1056,834,64269
Chemical tanker,27,18,1999,2001,2004,2004,328339065,529445961,1587,1563,1760,1757,145,11044
General cargo,189,65,1986,1987,1990,1991,1696826501,2442614541,1323,1358,1525,1547,446,33898
Bulk carrier,54,21,1990,1997,1995,1996,665239824,1043272851,1321,1127,1112,1102,113,8647
Oil tanker,43,19,1990,1990,1993,1993,441426650,687653981,1511,1522,1656,1648,257,19553
Service - tug,6,6,2000,2000,1990,1988,43101041,47137822,1935,8735,10740,14046,85,6404
Ro-Ro,24,6,1982,1987,1983,1984,67342358,43759140,417,618,544,560,54,4105
Yacht,8,1,1964,1964,1964,1964,1555794,2667985,228,228,265,265,1,84
Miscellaneous - fishing,1,1,1973,1973,1973,1973,1590035,883921,2314,2314,2314,2314,7,534
Ferry-pax only,14,1,1981,1981,1981,1981,421600,112128,157,157,160,160,2,117
Service - other,1,1,1981,1981,1981,1981,1367830,602903,1102,1102,1102,1102,1,68
