Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Zeebrugge,5835,776,130732,81635,2003,2006,2009,2010,209,978,708,964,18,101,243,283,9,40,28,33,15588.9,1153288,1175431,54712978,190283045,212249757,9377,34458,41746
Doel,4327,945,185930,203478,2007,2008,2009,2009,333,800,774,777,34,73,244,236,20,31,25,25,24026.9,1836429,1871688,130106908,367740767,417421733,30069,98169,115635
Zandvliet,2396,1391,55140,83080,2006,2007,2009,2009,556,1330,1649,1682,80,143,322,329,28,55,79,83,9139.7,697015,710398,49398583,141842788,172897070,20617,76485,95869
Antwerp,2224,1203,46309,72873,2006,2006,2009,2009,441,1243,1558,1594,59,127,318,323,26,53,77,81,7925.3,604023,615620,41533480,119824238,143678545,18675,66025,81114
Kallo,1415,702,32485,28305,2006,2007,2008,2008,480,958,955,1143,52,94,208,244,22,51,49,74,4706.6,357393,364254,19338491,60309965,72734237,13667,51652,61964
Pijp Tabak,1273,745,10027,13943,2004,2005,2007,2007,409,880,906,959,53,96,230,239,24,46,77,87,2721.9,206624,210591,12484990,36406723,45891251,9808,36236,45678
Nieuwpoort,873,653,6571,9279,2006,2007,2007,2008,99,398,465,445,25,58,213,176,32,51,59,66,1404.2,106156,108195,5176423,15881285,18932326,5929,22646,27949
Terdonk,837,497,7559,12612,2002,2004,2009,2010,296,920,1295,1413,60,116,304,315,23,44,72,75,1203.1,91420,93175,6976106,22100521,28604518,8335,33973,43678
Rieme,644,360,8486,15025,2002,2006,2011,2012,246,955,1441,1539,43,129,313,313,21,59,83,84,954.4,72517,73910,5704001,16406934,20648206,8857,35670,44901
Gent,546,203,9485,8076,2005,2005,2007,2008,549,985,719,970,34,111,123,200,14,62,48,80,1505.3,113630,115812,5607620,12452641,16447423,10270,31911,38447
Oostende,462,170,977,1039,1999,2000,2003,2005,212,611,483,415,28,170,264,259,10,82,38,44,353.2,26638,27150,3110247,7302226,8367638,6732,17366,20456
Kieldrecht,429,193,20934,8789,2008,2008,2011,2011,574,784,918,858,46,59,128,117,18,32,22,26,1712.4,130650,133159,9150864,26843400,31163888,21331,63630,68440
Berendrecht,401,246,13184,20987,2007,2006,2009,2009,695,1472,1508,1664,61,142,286,298,22,65,111,119,1927.3,147570,150403,11732952,31443818,37721151,29259,98506,120955
Ekeren,339,238,3327,4576,2004,2004,2007,2007,389,952,1006,1092,42,95,299,300,25,51,52,55,617.9,47040,47943,3556435,11087103,14587716,10491,42340,55265
Wondelgem,336,280,2731,4346,2003,2004,2009,2009,468,830,1284,1357,56,92,292,297,27,47,103,105,478.8,36479,37179,3333392,9308868,12534617,9921,36367,46962
Zelzate,232,102,1434,2131,2001,2002,2006,2007,310,675,982,1171,58,95,255,283,24,38,78,89,383.1,29023,29580,2170205,6019122,7598795,9354,32193,41151
Adinkerke,208,162,275,353,2004,2005,2005,2006,65,255,255,233,10,35,118,112,23,58,40,35,134.2,10148,10343,441525,1326923,1599678,2123,7510,9312
Langerbrugge,186,131,2932,4362,2001,2003,1998,1999,376,1022,1890,2325,60,117,326,338,23,49,82,88,423.4,32448,33071,2499347,7429641,10729301,13437,57632,75931
Lillo,171,97,684,844,2004,2005,2006,2006,324,582,840,731,37,84,157,157,24,40,45,54,236.3,17843,18186,1084645,3170088,3951065,6343,21535,26820
Brugge,108,73,119,172,1996,1997,2000,1999,373,474,435,427,52,84,90,79,20,32,34,34,43.9,3299,3362,525041,1460125,2046850,4861,15580,21786
Wintham,103,55,121,180,1999,2002,2001,2001,283,495,470,476,38,74,119,118,36,50,60,59,46.2,3475,3541,445515,1293302,1826012,4325,14600,20427
Hemiksem,62,46,128,188,2006,2006,2007,2007,295,451,541,550,44,62,103,103,20,35,24,24,61.4,4629,4718,332994,952823,1208192,5371,17334,21957
Noeveren,59,46,150,213,2006,2005,2006,2006,430,553,629,617,53,64,102,101,25,37,36,36,45.7,3439,3505,399083,1162653,1567672,6764,24385,31525
Wijnegem,55,13,31,42,1997,1997,2000,2001,244,302,303,331,37,48,67,69,22,21,24,25,12.8,963,981,134856,384085,549100,2452,7921,11347
Blankenberge,52,33,94,74,1999,1999,2003,2004,402,697,450,384,52,87,90,93,64,192,135,140,48.6,3650,3720,335808,702801,802528,6458,15114,17708
Kruibeke,52,16,36,46,2002,1998,2006,2005,278,364,421,425,36,50,58,59,15,33,29,27,11.6,873,889,145704,416694,598222,2802,9100,13076
Willebroek,48,41,103,149,2003,2003,2005,2005,541,640,724,716,76,74,120,118,28,41,45,45,31.5,2382,2428,358537,1037556,1471851,7470,26244,36032
Ruisbroek,43,40,74,108,2006,2005,2007,2007,346,444,466,475,38,54,77,77,25,48,46,46,23.8,1789,1823,231376,674568,919248,5381,18122,24463
Burcht,39,20,63,91,2003,2003,2004,2004,276,354,408,400,51,69,73,72,24,30,42,42,40.9,3074,3133,162960,496737,647480,4178,14206,18701
Merksem,28,14,21,24,1992,1992,1993,1994,242,603,424,404,34,71,75,63,22,33,33,39,8.4,632,644,82567,228572,320021,2949,9199,12961
Boom,26,26,43,63,2002,2002,2004,2005,467,567,595,600,56,71,121,121,24,103,67,65,14.5,1095,1116,173662,500083,713708,6679,22607,31720
Oostkerke,20,15,608,195,2001,2005,2010,2010,313,805,980,930,29,57,287,279,17,21,9,9,45.2,3455,3522,197003,868571,1005894,9850,37440,40294
Verbrande Brug,13,10,15,21,1996,1998,1999,1999,196,507,521,524,46,72,132,134,19,23,22,22,4.2,319,325,65202,187052,268808,5016,16348,23513
Sas-Slijkens,13,12,11,17,1992,1993,1992,1991,343,461,417,425,78,81,100,100,18,19,23,24,4.1,307,313,58875,159379,219686,4529,13875,19241
Jupille-Sur-Meuse,9,5,4,5,1993,1997,1995,1995,321,303,303,304,48,51,48,48,13,28,27,28,1.8,136,139,16347,46897,67394,1816,5920,8515
Oevel,8,2,5,8,2008,2003,2008,2008,60,144,125,124,11,26,33,33,10,29,64,64,1.6,124,126,50625,105483,115698,6328,14336,16436
Schelle,7,6,6,8,2002,2005,2010,2010,176,251,202,205,33,70,100,98,17,95,74,82,3.3,251,256,26917,63719,77556,3845,10274,12826
Schoten,7,4,4,3,1996,1997,1994,1997,223,192,150,183,37,36,40,36,22,21,23,23,1.2,92,94,13602,35856,48288,1943,5704,7790
Olen,6,5,6,8,2002,2001,2001,2001,549,529,534,530,84,78,98,98,20,24,21,19,2.3,172,176,24550,70429,101212,4092,13337,19182
Genk,5,3,2,3,1996,1994,1994,1995,294,390,275,271,58,51,90,91,21,15,25,25,1.0,77,79,10353,29702,42684,2071,6750,9708
Zandvoorde,5,4,2,4,1994,1993,1989,1987,214,303,245,269,24,76,111,129,17,17,18,19,2.5,189,192,21087,46692,53208,4217,10449,12222
Massenhoven,4,4,2,2,1994,1994,1997,1997,317,303,298,299,44,49,52,52,6,9,9,9,0.8,61,62,7660,21975,31580,1915,6242,8978
Kapelle-Op-Den-Bos,4,4,72,123,1976,1976,2000,2000,562,740,1486,1494,92,110,181,182,6,14,44,44,9.0,690,704,34804,198637,235015,8701,58602,73108
Oelegem,4,4,3,4,2000,2000,1998,1998,346,473,433,431,60,58,62,62,52,52,54,56,1.3,96,98,11562,33169,47666,2890,9422,13551
Tisselt,4,3,1,2,1992,1992,1993,1993,126,169,179,179,34,36,41,41,16,56,52,52,0.5,41,42,6404,18372,26402,1601,5219,7506
Evergem,3,3,3,5,2007,2007,2007,2007,613,605,604,604,78,81,81,81,21,19,19,19,1.1,86,88,14790,42431,60976,4930,16070,23113
Wulpen,3,3,0,0,1992,1992,1995,1997,644,634,463,780,43,40,57,65,240,216,329,380,1.3,94,96,2930,6500,7390,977,2299,2725
