Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,2061,66,88,71,2007,2002,2007,2006,63,112,107,101,27,132,144,135,11,40,43,44,256.4,19248,19618,1824874,4315278,5777924,885,2286,3087
Chemical tanker,1665,698,1520,2417,2007,2008,2008,2008,77,69,69,69,11,28,32,32,26,36,48,49,1981.8,148982,151842,1465626,5598287,6667125,880,3861,4718
General cargo,990,432,296,421,2003,2004,2005,2005,67,62,67,66,13,30,31,31,18,39,45,46,194.7,14627,14907,728638,2147336,3050120,736,2733,3726
Container,599,258,2108,2383,2004,2006,2006,2006,79,76,78,77,8,13,12,12,20,27,30,30,522.9,39267,40021,1645558,4763004,5313913,2747,8823,10332
Oil tanker,465,137,1004,1791,2007,2009,2009,2009,77,81,105,106,12,39,206,212,14,62,57,57,973.4,73149,74554,1397149,2121094,2438920,3005,7669,9558
Service - other,446,38,586,871,1999,2002,2004,2004,156,592,641,662,39,235,732,793,12,48,132,126,288.3,21640,22056,6075810,12466229,13433116,13623,30313,34228
Liquefied gas tanker,310,106,215,236,2007,2007,2009,2009,82,82,80,79,10,17,17,17,29,42,52,52,226.1,16963,17289,171463,509704,557082,553,3061,4045
Ro-Ro,270,24,248,128,2002,2006,2003,2001,61,67,64,64,8,18,10,10,14,43,37,37,130.6,9835,10024,167884,562224,424896,622,1476,1708
Bulk carrier,187,145,370,620,2008,2009,2007,2007,74,68,71,71,11,40,28,28,65,73,89,89,96.6,7289,7429,210453,490380,644907,1125,4201,5122
Vehicle,185,142,885,298,2006,2006,2007,2007,70,85,84,84,9,20,31,30,21,29,45,43,109.2,8242,8400,302146,1332139,1542752,1633,6208,6681
Miscellaneous - fishing,13,8,5,4,1992,1993,1993,1993,691,683,242,299,93,117,211,254,22,63,112,139,5.9,445,454,25569,56717,64481,1967,4629,5487
Refrigerated bulk,11,9,10,10,1995,1995,1994,1994,75,82,79,80,36,109,74,80,0,534,2240,2254,160.1,12020,12250,28444,62151,70007,2586,5510,5949
Ferry-pax only,6,2,0,0,1963,1952,1969,1948,81,74,82,76,14,15,17,17,62,261,1302,788,8.4,634,646,3196,6509,8199,533,1239,1633
Other liquids tankers,2,1,5,6,2002,2002,2002,2002,69,69,69,69,50,50,42,42,31,31,36,36,3.0,227,232,3063,8747,18858,1532,5306,8574
Cruise,2,2,3,0,2008,2008,2007,2006,84,84,69,67,18,18,19,20,8,8,8,8,1.8,135,138,1179,8146,13770,589,3724,5743
