Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,1134,95,13002,15448,2005,2006,2005,2005,755,606,638,623,48,48,74,73,17,29,31,31,2729.8,209874,213903,18044720,57515597,63875903,15912,51799,60274
Cruise,342,48,19562,1835,2007,2005,2008,2008,297,484,526,551,18,34,57,59,8,9,16,19,3847.3,296717,302414,2652968,26029314,32418696,7757,67296,80593
Chemical tanker,155,106,3330,5412,2010,2010,2009,2009,537,1229,971,957,74,131,255,253,30,41,50,50,604.3,46565,47460,1721215,9052266,10549178,11105,67760,82725
General cargo,138,72,1577,2332,2007,2007,2005,2005,933,1211,1128,1139,87,136,178,179,38,82,85,86,300.8,22973,23414,1669673,5376368,7696047,12099,57097,76051
Bulk carrier,116,105,3407,5666,2009,2010,2009,2009,979,1129,1103,1106,103,154,235,236,74,104,120,120,356.2,27386,27912,2166113,4936599,6476709,18673,69258,83829
Vehicle,88,68,1347,444,2008,2009,2008,2008,178,281,267,268,16,28,47,48,11,23,33,34,89.3,6917,7049,449389,1981322,2294572,5107,19411,20890
Liquefied gas tanker,49,19,1435,1646,2009,2010,2013,2013,1103,1350,1186,1191,85,139,147,148,42,64,83,83,244.6,18773,19134,612992,3061668,2805762,12510,88969,129388
Oil tanker,31,20,204,335,2003,2006,2005,2004,522,433,309,292,65,73,76,74,25,63,97,98,75.3,5795,5906,335299,533200,631897,10816,30666,38803
Refrigerated bulk,8,6,207,221,1994,1995,1992,1992,74,921,2083,2096,6,55,303,303,29,26,33,33,78.2,5980,6095,655974,1433334,1614516,81997,174734,188660
Service - tug,6,5,4,2,1990,1993,1997,1991,1302,2965,2415,2260,153,1378,3750,2999,98,172,140,201,16.9,1269,1293,53595,126737,169694,8933,23065,31142
Service - other,2,2,19,12,1994,1994,1993,1994,1524,1524,1585,1125,121,121,148,120,340,340,154,345,9.2,695,709,83975,172299,185662,41988,93430,105495
Miscellaneous - fishing,2,2,0,0,1990,1990,1987,1987,457,457,233,240,70,70,56,58,22,22,26,26,0.7,56,57,2599,5766,6555,1300,3059,3626
Ferry-RoPax,2,1,6,1,2007,2007,2007,2007,271,271,271,271,26,26,32,32,10,10,9,9,2.0,152,155,3317,8203,10065,1659,3540,3224
Ro-Ro,1,1,1,2,1966,1966,1966,1966,896,896,896,896,90,90,90,90,83,83,83,83,2.0,153,156,8259,63677,30048,8259,20156,28734
