Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Puerto Cortes,1369,323,20111,27489,2006,2008,2006,2007,800,1219,794,834,55,112,206,215,14,93,73,81,3449.7,265221,270314,20952570,66270147,77321095,15305,55669,66779
Roatan,392,57,19674,1871,2007,2005,2008,2007,349,491,527,523,23,40,52,55,8,28,8,10,3704.0,285684,291169,2463882,24546467,30866341,6285,55999,68232
Amapala,188,128,3005,3261,2008,2009,2009,2009,220,720,425,593,20,74,236,311,31,50,73,97,384.4,29645,30214,1728513,6168422,7689322,9194,40190,48948
Puerto Castillas,71,31,1215,1507,1997,2004,2000,2004,776,1006,940,1048,45,107,182,219,14,43,46,49,234.5,18069,18416,1728434,5084177,5756595,24344,76927,89549
Omoa,44,27,1871,2343,2011,2010,2013,2012,1108,1388,1323,1413,87,137,275,334,31,37,53,50,245.4,18913,19276,997188,3961311,3926650,22663,120766,166832
Tela,11,10,381,646,2011,2011,2011,2011,1105,1179,1169,1168,94,93,93,93,56,63,63,63,62.8,4840,4933,124591,912421,1052004,11326,97810,120237
Trujillo,5,4,96,10,1996,1996,1993,1993,600,528,553,549,39,38,48,48,8,7,8,8,27.0,2084,2124,39933,216517,257944,7987,37048,39807
La Ceiba,3,3,3,1,1984,1984,1997,1979,1786,1298,240,844,20,213,127,398,329,275,136,394,3.4,258,263,32523,77020,102835,10841,27836,37254
Utila,3,3,91,128,2007,2007,2006,2006,1105,1505,1506,1560,93,144,190,195,3,5,4,4,11.9,916,933,58695,271274,305171,19565,98620,118921
Guanaja,2,2,13,15,1993,1993,2009,2007,959,959,796,804,354,354,160,174,5,5,6,6,5.1,387,394,16370,58179,67284,8185,31846,38893
