Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Marsaskala,2476,1727,134868,210905,2006,2006,2010,2010,785,1596,1663,1612,79,167,332,333,14,36,43,43,14575.5,1106153,1127391,93945923,252620230,286469567,37943,131983,165993
Delimara,2369,1106,129412,160845,2005,2006,2009,2009,761,1421,1787,1700,73,149,267,271,18,27,25,25,14302.6,1099024,1120126,82907578,226222596,263907280,34997,121128,147651
Marsaxlokk,922,288,107260,114111,2006,2007,2010,2010,803,1392,1974,1916,79,115,230,227,21,25,24,24,11156.6,860083,876596,64041305,176389788,197081957,69459,223259,263202
Valletta,888,311,19387,9262,2001,2001,2006,2006,596,1144,615,992,40,147,145,312,10,130,142,313,4153.5,320305,326455,14356887,43578154,51042790,16168,49194,54424
Saint Paul'S Bay (San Pawl Il-Bahar),357,329,11121,18720,2004,2005,2008,2009,835,1356,1438,1438,92,178,419,424,7,10,9,9,1258.5,97054,98917,8542361,21552016,27257975,23928,85853,106761
Floriana,218,87,928,698,1997,1997,2007,2008,312,1331,694,814,38,202,538,450,27,242,58,70,329.0,24973,25452,2537662,6156963,7917210,11641,31695,39702
Marsamxett,95,84,3674,5776,2003,2003,2007,2007,839,1748,1499,1572,107,223,335,325,7,39,15,16,511.2,39212,39965,3297673,7598272,9139470,34712,104065,127148
"Mgarr, Gozo",86,84,3023,4911,2004,2004,2008,2008,827,1212,1382,1371,81,132,256,264,8,13,9,9,327.5,25245,25730,2546062,6217986,7451983,29605,94303,116871
Kirkop,31,24,783,976,2001,2000,2006,2006,925,1229,1128,1119,80,128,158,172,10,19,22,22,121.3,9349,9528,731002,2337367,2766654,23581,88025,107318
Birzebbugia,17,9,912,860,1998,1998,2009,2010,568,1017,2530,3347,35,91,378,398,15,15,32,34,110.6,8555,8720,449579,1262218,1481642,26446,91052,105952
Balzan,3,3,27,37,1992,1992,2001,2000,1278,1885,2754,2519,170,176,249,244,19,49,22,23,7.6,580,591,75232,196278,273317,25077,92873,119971
Tarxien,3,3,177,189,2000,2000,1997,1997,1810,1655,1667,1639,158,136,160,159,24,40,28,29,22.1,1706,1739,179087,461263,513221,59696,166661,190364
Sliema,1,1,5,8,1992,1992,1992,1992,3427,3427,3427,3427,387,387,387,387,4,4,4,4,1.9,143,146,23485,67375,96822,23485,76551,110100
Marsa,1,1,0,0,1997,1997,1997,1997,256,256,256,256,46,46,46,46,76,76,76,76,0.3,22,23,559,1239,1408,559,1314,1558
