Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,510,45,1113,1946,1986,2002,1998,1999,193,308,323,323,49,73,406,414,20,34,69,70,505.4,38225,38959,2941102,1904569,2252158,5767,15025,19054
Service - tug,138,12,46,29,2001,1996,2003,2001,317,403,601,569,124,152,474,494,56,139,436,322,150.0,11263,11479,734493,1736854,2325554,5322,13743,18556
Chemical tanker,137,25,284,412,2008,2006,2007,2007,163,172,220,218,54,53,162,158,22,30,52,50,189.3,14303,14578,445129,1399392,1704374,3249,11512,14144
Miscellaneous - fishing,98,18,20,19,1997,1990,1992,1990,779,1492,1396,1257,98,285,381,405,72,287,468,505,126.8,9518,9701,132677,294302,334592,1354,3186,3777
Container,58,38,354,438,2004,2005,2005,2005,127,449,331,357,68,187,438,448,26,52,83,79,188.5,14307,14581,639739,1918515,2176273,11030,34613,40488
General cargo,27,20,101,121,1997,2000,1998,1998,283,423,582,530,60,68,265,257,29,77,99,99,29.9,2281,2324,167623,500922,704684,6208,24823,32700
Liquefied gas tanker,18,10,231,263,2004,2007,1992,1993,183,413,528,520,79,514,628,641,20,34,217,215,83.8,6432,6556,83477,476303,421084,4638,35556,52908
Service - other,17,3,8,3,1984,1987,1999,1995,202,407,618,455,77,1398,169,429,62,58,90,91,19.1,1432,1460,23687,48600,52369,1393,3100,3501
Refrigerated bulk,16,7,30,31,2008,2005,2007,2006,253,628,461,470,180,493,769,786,76,83,78,74,97.4,7318,7459,93285,203832,229598,5830,12424,13415
Ferry-RoPax,11,4,167,36,1996,1994,2004,1998,841,1903,1639,1059,62,228,143,103,12,202,87,77,75.8,5719,5829,242430,592327,731938,22039,47251,45459
Bulk carrier,7,4,12,18,1990,1998,1988,1989,238,183,144,131,25,21,59,56,24,19,33,32,3.8,283,288,27014,61188,74687,3859,11894,14802
Ferry-pax only,6,1,1,0,2010,2010,2010,2010,115,115,341,341,412,412,949,949,36,36,44,44,4.8,358,364,9416,19178,24158,1569,3650,4811
Cruise,3,3,1,0,1985,1985,1983,1986,104,208,117,153,19,31,31,39,14,14,15,16,1.3,99,101,5027,7554,9729,1676,3012,4115
