Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,27731,2641,2211578,2424297,2007,2008,2010,2010,896,1579,1794,1760,69,114,269,265,13,24,41,40,255949.6,19792581,20172598,1415252866,4111444523,4662550364,51035,172599,204334
Bulk carrier,19506,6643,3065620,5722704,2009,2010,2010,2010,2469,2794,2991,3008,234,283,385,383,53,92,104,103,171790.3,13298817,13554154,1298020659,3037452113,3563381172,66545,224920,269338
General cargo,10725,2131,192119,267439,2003,2005,2006,2006,945,2128,2331,2307,106,235,512,504,30,74,98,98,29761.6,2285137,2329011,173498493,567731087,818989111,16177,78057,105266
Chemical tanker,8386,1615,145075,232941,2007,2008,2008,2008,977,1685,1723,1732,84,167,290,290,24,46,56,57,28938.9,2226273,2269017,143610802,542253538,645346301,17125,73852,90019
Oil tanker,4266,1609,809580,1530931,2008,2008,2010,2010,1705,2558,2736,2767,177,277,413,414,28,71,54,53,51739.9,4002727,4079580,495989369,877058369,952303822,116266,311773,388035
Liquefied gas tanker,3651,727,373848,340685,2007,2009,2012,2011,1170,3075,3605,3579,97,245,425,434,26,58,83,80,42293.9,2889237,2944710,95308302,606914566,520467867,26105,208935,315838
Vehicle,1537,460,127458,43390,2005,2007,2007,2007,1224,1690,1737,1719,91,129,226,225,11,17,20,20,8446.6,653643,666193,43937856,193718835,224346154,28587,108658,116940
Ferry-pax only,1168,78,484,45,2006,2003,2004,2004,349,2069,787,795,17,279,509,669,10,33,159,158,638.5,47941,48861,3634310,7428051,9360451,3112,7249,9557
Ferry-RoPax,1139,41,14611,3799,2006,2004,2000,2002,266,2508,637,541,16,347,499,440,9,92,17,16,3997.1,306888,312780,23674164,58516442,71820046,20785,44376,40508
Cruise,673,44,51613,4575,2006,2002,2009,2008,564,637,716,732,40,45,71,74,10,19,19,20,8757.8,678365,691390,6388936,66610711,84544519,9493,86910,105208
Refrigerated bulk,551,204,5108,5639,1991,1991,1992,1992,727,1630,1639,1652,87,252,465,465,45,128,278,290,3912.2,295919,301601,16729298,36554329,41175014,30362,64700,69857
Service - tug,483,149,583,489,2009,2010,2009,2008,699,1349,1160,1192,96,278,497,541,22,200,115,113,537.3,40538,41316,12512007,29587131,39615569,25905,66891,90314
Ro-Ro,318,25,3279,1429,1997,1999,1998,1999,467,1709,746,756,32,150,521,334,9,60,31,47,761.4,58822,59951,2679798,14480988,8180428,8427,20267,26058
Miscellaneous - fishing,262,125,1390,778,1995,1996,2001,2001,817,2731,2833,2350,88,570,2755,2399,32,161,191,159,562.7,42303,43115,5469137,12131599,13792400,20875,49127,58237
Service - other,230,79,2297,1522,2001,2002,2002,2000,542,2618,1591,1095,52,364,742,605,17,168,126,103,636.1,48504,49435,10618848,21787545,23477399,46169,102734,116001
Other liquids tankers,27,6,171,191,2004,2011,2010,2011,888,2503,1596,1566,76,239,378,365,23,33,44,42,66.9,5181,5281,98176,280323,604376,3636,12597,20355
