Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,797,389,2950,3879,1993,1997,1996,1997,809,928,978,963,84,103,179,181,34,65,69,70,769.9,58717,59844,7035274,20669340,29324385,8827,32583,44344
Cruise,455,71,8469,884,2001,2000,2001,2001,228,348,354,355,18,30,42,43,10,16,13,14,2285.8,176859,180255,4932237,19254223,20234942,10840,37380,36419
Container,363,84,6214,6758,2007,2006,2009,2009,173,453,414,413,25,39,66,66,29,46,37,37,817.8,63091,64302,5049410,13995797,16321831,13910,45598,54119
Bulk carrier,325,101,4367,7770,1981,2003,2007,2008,269,1256,1388,1420,27,126,234,235,22,71,64,60,424.8,32717,33345,3020620,7357092,9071602,9294,34023,41748
Ferry-RoPax,293,10,1575,392,1979,1987,1988,1992,130,786,371,576,12,31,68,82,12,34,112,134,438.1,33608,34254,2437915,6028770,7397339,8321,17761,16177
Chemical tanker,145,95,2181,3524,2006,2007,2007,2007,762,968,973,977,68,117,183,182,28,48,61,60,511.0,39439,40196,1280737,6347428,7482013,8833,50822,62606
Oil tanker,105,79,9333,17418,2007,2007,2008,2008,957,1384,1439,1445,94,144,499,507,25,46,51,51,807.4,62533,63733,7875662,15984012,17742531,75006,190595,234670
Ferry-pax only,91,9,24,6,1993,1992,1988,1988,340,805,704,774,30,101,168,211,5,22,28,17,43.0,3225,3287,470654,958532,1207454,5172,12027,15856
Service - tug,41,19,14,11,1997,1998,1997,1996,222,433,498,505,41,106,148,151,65,191,379,388,21.0,1581,1611,271597,642245,859931,6624,17105,23095
Liquefied gas tanker,16,9,116,135,2001,1999,2003,2003,1163,1033,1033,1030,96,118,116,115,22,47,80,79,42.7,3256,3319,82294,278846,289846,5143,30132,40817
Service - other,9,8,42,46,1985,1987,1988,1986,612,1798,739,543,95,135,261,221,24,1098,1334,2197,36.9,2771,2824,318296,653073,703726,35366,78696,88859
Refrigerated bulk,5,5,77,90,1996,1996,1989,1989,1582,1518,1808,1830,95,368,593,595,9,51,22,21,64.2,4848,4941,266654,582651,656302,53331,113647,122705
Ro-Ro,5,5,55,47,1999,1999,2012,2013,160,331,592,628,64,70,63,64,14,16,14,14,10.6,821,837,50213,92527,107881,10043,23604,25056
Miscellaneous - fishing,1,1,0,0,2000,2000,2000,2000,75,75,75,75,10,10,10,10,12,12,12,12,0.0,3,3,61,136,154,61,144,171
