Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Rijeka Luka,450,209,4317,5311,2004,2001,2008,2008,157,511,290,329,16,60,98,123,21,73,34,38,632.2,48690,49625,4227507,12547788,15111339,9394,32879,40345
Split,319,49,5902,631,1990,1997,2001,2000,212,454,463,437,14,48,56,60,9,16,10,11,1407.7,108821,110911,3660518,12992728,13257509,11475,36113,33773
Vranjic,192,107,603,785,1998,1998,2004,2004,255,623,608,605,40,95,123,129,36,65,45,48,175.3,13427,13685,1415523,3992890,5194959,7373,24530,31443
Sveti Kajo,182,44,238,341,1976,2000,1997,1998,219,604,559,597,23,71,115,122,36,65,79,81,76.9,5845,5957,469563,1275746,1751963,2580,9211,12097
Tunarica,143,42,483,515,1978,1983,1981,1983,899,1315,1201,1099,63,100,132,129,51,107,106,113,127.7,9709,9895,1293428,3670339,5177885,9045,30771,42567
Dubrovnik,134,13,1119,118,1989,2001,2000,2000,111,393,273,257,12,29,29,29,9,20,10,11,280.5,21668,22084,688391,2437690,2473636,5137,16120,15004
Omisalj,104,85,11487,21430,2007,2007,2008,2008,1296,1885,1961,1979,121,182,282,284,25,32,34,34,1122.9,86944,88614,9511255,19857880,22049475,91454,237421,293381
Kostrena,72,68,2619,3195,2004,2004,2002,2004,942,1985,1951,1571,84,174,1106,608,106,256,405,397,775.4,59766,60914,3501014,10196613,12098815,48625,148859,171062
Ubli,69,45,538,433,1988,1990,1992,1990,978,1183,1183,1124,83,109,165,138,11,24,23,26,114.9,8814,8984,1194792,3214255,4135685,17316,50137,59931
Rovinj,69,26,92,39,1997,1993,2007,2001,207,304,199,471,13,34,70,133,17,16,10,14,43.0,3272,3335,140739,360586,474182,2040,6263,8472
Vela Luka,67,57,1935,3335,1997,1998,2005,2006,1146,2061,2726,3053,74,104,274,293,42,77,112,113,223.4,17227,17558,1530194,4291682,5527119,22839,89202,112892
Sustjepan,63,22,1955,199,2005,2007,2005,2005,334,335,420,414,23,23,34,33,9,11,9,9,428.8,33213,33851,1055000,4110182,4179455,16746,57752,54892
Kraljevica,55,42,1736,2986,2004,2003,2009,2009,882,1579,2204,2312,101,180,468,484,25,50,36,34,237.4,18309,18660,1306599,3581626,4290872,23756,87239,105203
Komiza,47,43,940,499,1995,1996,1999,2002,998,1348,2034,1599,75,108,189,230,17,25,68,36,202.1,15579,15878,1395931,3930898,4811582,29701,85769,94339
Pula,47,33,195,251,1995,1998,1998,1997,300,657,619,679,25,69,183,184,41,50,70,72,46.8,3587,3656,300683,809329,1087789,6398,22650,30135
Ploce,40,36,1536,2806,2002,2003,2013,2013,855,1511,2753,2945,98,141,358,366,115,105,105,106,156.0,12027,12258,776630,2314572,2802691,19416,84590,105140
Hvar,39,30,846,1174,2000,1999,2008,2011,851,1350,1124,3212,42,219,300,369,15,59,77,95,131.3,10086,10280,556481,1922832,2439662,14269,59403,74640
Bakar,26,21,1310,2408,2006,2006,2006,2006,718,1342,2119,2193,100,150,333,336,36,93,182,188,149.8,11585,11808,693896,1757456,2057428,26688,91996,109271
Unije,25,14,129,106,1981,1989,1991,1988,1431,1772,808,1157,112,490,235,189,46,48,44,55,44.1,3357,3422,276495,750400,981825,11060,35459,46340
Lastovo,24,20,198,119,1994,1992,1997,1993,929,1085,1069,1348,80,104,115,221,8,30,41,65,49.4,3760,3833,273305,819616,1047478,11388,37995,46511
Susak,24,20,158,198,1998,2000,2005,2005,551,581,460,535,32,67,76,97,10,54,85,116,31.6,2425,2472,224366,594131,718464,9349,28106,35013
Koromacno,24,17,673,1047,1982,1984,2002,2002,785,2202,6658,7903,72,236,2098,2170,34,64,322,333,86.2,6644,6772,369211,1867225,2263504,15384,93918,117714
Mali Losinj,21,9,23,23,1992,1992,1993,1992,361,903,1076,1192,54,276,249,222,4,253,357,378,14.3,1088,1109,157399,393529,535591,7495,21296,28818
Lokrum,21,9,143,16,1999,1997,2006,2007,195,226,258,181,17,29,29,37,12,13,12,13,34.5,2672,2723,40668,311425,414075,1937,12512,14878
Stari Grad,20,13,223,246,1991,1996,1995,1998,765,2111,1391,1854,41,121,269,289,20,60,71,39,48.7,3730,3801,298268,851646,1096851,14913,50219,61847
Drvenik,20,18,99,120,1993,1994,1997,1999,454,1288,1057,1159,34,86,207,223,19,86,179,183,25.2,1915,1952,185285,543519,760079,9264,34107,45402
Porec,20,4,4,2,1987,1978,1987,1987,339,579,479,497,9,9,33,35,52,46,61,60,6.8,513,523,129862,265305,335390,6493,15139,19999
Zaliv Rasa,18,9,60,64,1978,1979,1977,1977,1150,1089,1146,1166,126,113,132,136,52,74,79,87,16.0,1204,1227,187704,522836,737617,10428,33637,47549
Gazenica,17,8,297,30,1997,1998,1999,1999,177,281,278,263,14,21,24,24,8,7,8,8,72.8,5640,5749,164024,649935,678127,9648,33627,32397
Sibenik,17,14,352,478,2005,2004,2011,2012,257,1493,1051,3175,24,150,475,558,56,71,53,60,49.6,3811,3884,254469,698396,933203,14969,58348,72835
Vis,16,15,172,121,1995,1995,1998,2002,1102,1236,1245,1003,67,90,109,94,10,26,22,24,40.9,3137,3197,355403,943562,1187007,22213,57679,63575
Brioni,16,15,23,31,1992,1994,2001,1998,259,386,271,330,18,37,41,46,9,26,56,58,5.1,386,394,57428,143917,193154,3589,11214,15009
Zirje,14,14,60,53,1990,1990,1991,1996,609,850,743,973,37,68,105,132,10,23,23,28,14.5,1112,1133,127063,397101,556347,9076,33307,44685
Obonjan,14,8,145,82,1994,1993,1992,1992,381,891,531,1164,19,49,38,56,11,47,59,128,29.4,2271,2314,107903,512429,673715,7707,37816,47266
Primosten,12,12,156,230,1999,1999,2003,2003,874,1419,1705,1740,76,114,202,198,84,102,154,157,23.9,1828,1863,167000,504115,728586,13917,61989,81169
Viganj,11,11,171,198,1999,1999,2005,2005,935,1119,848,1528,69,85,111,141,22,25,23,29,30.3,2343,2388,202935,553474,682785,18449,62977,75731
Pucisca,10,3,6,8,1988,1996,1998,2001,136,188,159,147,22,58,28,26,10,78,146,156,2.5,188,191,16205,42956,60140,1621,5009,6960
Moscenicka Draga,10,9,351,638,1999,2001,2005,2005,538,1316,1564,1966,28,105,480,503,17,20,38,40,31.6,2419,2465,204780,626198,731794,20478,85237,104568
Trogir,10,9,135,149,1992,1990,1999,1999,470,752,2112,2475,90,196,260,266,116,244,212,222,25.4,1936,1973,73233,261243,397854,7323,39297,55056
Zadar,9,8,136,16,2005,2004,2004,2004,175,372,394,409,18,29,47,47,8,8,8,8,27.2,2110,2150,65765,337375,394009,7307,32202,34010
Plomin,9,8,777,1362,2005,2004,2011,2011,1469,1942,2193,2585,146,175,331,353,19,46,68,73,59.6,4598,4686,326969,939260,1107579,36330,157973,194723
Trpanj,9,9,297,546,1998,1998,2006,2006,532,1232,2363,2572,53,113,389,399,101,126,101,101,31.0,2387,2433,180469,469303,574977,20052,81214,99661
Umag,8,7,491,861,1998,1999,2007,2007,317,1297,2882,3414,28,103,420,443,4,13,3,2,55.2,4261,4342,486346,1040899,1163140,60793,148367,182591
Rogoznica,8,8,44,64,1995,1995,1998,1998,1332,1755,1958,1954,136,163,204,200,38,69,102,107,12.7,967,985,148980,431407,609394,18623,66499,90125
Korcula,8,8,63,9,1986,1986,1986,1984,287,422,554,557,34,36,81,79,15,47,7,21,14.6,1123,1145,31469,189829,257733,3934,20823,25876
Ist,7,7,202,306,1998,1998,2002,2003,1621,1883,2146,2135,158,182,283,294,6,15,39,46,28.9,2228,2271,264822,656918,813648,37832,109400,135197
Jadrija,7,5,163,118,2005,2007,2007,2011,319,1303,467,1739,19,121,176,332,8,36,21,35,34.8,2687,2738,108484,368744,438403,15498,64332,75806
Cavtat,6,5,129,15,1988,1988,1987,1986,709,774,1289,1327,74,66,88,90,6,7,6,6,25.9,2004,2043,50156,346116,461623,8359,49151,59127
Rabac,6,6,209,380,2001,2001,2004,2004,1512,1682,2387,2738,95,115,280,285,53,48,82,83,21.9,1688,1720,145372,430555,536228,24229,99160,124253
Jelsa,6,6,26,38,1996,1996,1999,1999,1066,1152,1389,1388,79,76,101,100,36,42,63,61,6.7,519,529,84222,208051,256700,14037,42296,52582
