Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Hvar,334,63,555,162,1996,1991,1998,1998,719,1458,488,528,28,79,147,136,25,49,74,72,330.7,25010,25490,2054307,4469981,5605348,6151,14412,18170
Milna,275,30,360,89,1997,1996,1998,1998,562,913,1209,837,31,92,384,338,11,26,21,19,193.8,14685,14967,1172527,2570692,3210113,4264,9912,12051
Split,248,55,711,108,1998,1995,1997,1997,501,856,451,559,29,133,171,229,9,44,36,40,333.1,25324,25810,1221627,2790949,3407337,4926,11106,12546
Rijeka Luka,218,55,195,152,1996,1998,2001,2000,199,343,310,283,22,28,41,43,51,87,182,134,117.1,8842,9012,683155,1639527,2139070,3134,8712,11482
Vranjic,184,48,126,168,2002,1995,2003,2004,187,428,235,224,21,81,58,43,20,95,47,38,105.5,8001,8155,497902,1279384,1612446,2706,8081,10226
Gazenica,153,27,585,101,1993,1991,2006,2004,173,621,248,247,20,85,44,88,10,72,17,33,164.0,12598,12839,523620,1722383,1840855,3422,10274,10400
Rogac,133,19,117,25,1994,1989,1994,1991,184,1137,500,517,19,234,729,724,30,77,139,140,124.5,9351,9531,423286,930475,1194650,3183,7147,9226
Supetar,133,22,199,37,2002,1992,2005,2005,233,1918,666,659,29,120,695,663,6,265,1696,1611,147.2,11051,11263,332828,777445,967059,2502,5486,5914
Sveti Kajo,124,37,90,109,1990,1993,1995,1993,268,617,430,403,23,65,108,89,42,152,249,198,99.8,7515,7659,346787,824832,1033823,2797,7857,10064
Pula,117,35,36,17,1994,1991,1992,1990,219,465,324,166,64,167,147,168,25,33,161,47,63.9,4802,4894,186349,391545,487007,1593,3823,4953
Stari Grad,111,25,312,114,2002,2000,1998,2002,301,694,839,671,24,57,358,223,20,24,101,68,131.2,9932,10122,467222,1181541,1471303,4209,9900,10359
Vis,110,30,227,56,1993,1990,1990,1990,417,765,874,688,27,96,428,276,18,22,34,41,104.8,7951,8104,367964,884040,1133560,3345,8167,9689
Rovinj,98,28,71,10,1993,1995,2005,2002,176,355,336,331,27,64,143,140,30,28,19,45,66.3,4990,5085,142880,402021,520307,1458,4218,5417
Mali Losinj,81,33,123,30,1990,1991,1988,1991,357,1848,2309,936,42,105,427,359,23,243,668,575,86.9,6563,6689,305352,684516,855817,3770,8729,10247
Bakar,78,11,54,79,2003,1994,2003,2003,215,278,261,260,28,112,39,38,22,41,47,49,40.4,3070,3129,246917,623284,767932,3166,9418,11587
Ubli,65,34,218,122,1995,1992,1998,1996,339,725,663,630,25,43,58,87,11,32,292,103,78.3,5972,6087,343245,897753,1161678,5281,14960,18034
Kraljevica,65,28,209,240,2001,1997,2000,2000,277,1874,676,532,42,421,310,170,22,227,155,88,146.8,11072,11284,766299,1896715,2457243,11789,32066,41597
Kali,64,7,15,6,1990,1990,1986,1989,126,2048,1631,819,40,137,1047,732,28,60,72,68,40.7,3058,3117,254567,523233,653066,3978,9267,12105
Unije,63,26,80,48,1990,1992,1985,1990,426,1271,870,357,32,86,636,184,27,56,248,113,58.9,4432,4517,319204,675726,855608,5067,12407,16387
Kostrena,63,18,158,155,2003,2000,2007,2004,296,1664,536,390,18,354,767,259,28,148,141,53,87.8,6637,6764,486083,1227673,1587637,7716,21437,27654
Vela Luka,61,28,145,102,1992,1991,1996,1998,459,1072,594,709,37,66,116,107,11,90,63,48,55.7,4230,4311,225147,622113,826204,3691,11858,14927
Drvenik,59,31,506,156,1992,1993,1991,1999,490,1104,1455,575,37,136,624,267,7,23,8,18,139.6,10643,10847,513993,1337710,1680312,8712,21948,24112
Novalja,56,15,36,10,1991,1988,1995,1992,263,904,1457,900,23,130,275,236,14,49,104,103,26.2,1964,2002,352308,733762,922247,6291,14560,18731
Lamjane,54,17,36,12,1991,1987,1981,1990,236,2322,1885,839,28,182,1067,604,23,77,166,154,49.5,3720,3791,248613,519960,642356,4604,10689,13556
Sali,54,31,27,26,1988,1988,1992,1994,202,906,392,368,28,77,89,70,13,47,41,27,24.0,1808,1843,116994,288594,372725,2167,5909,7506
Susak,53,36,77,89,1990,1989,2000,2003,401,1150,461,369,28,68,119,36,21,101,53,43,47.8,3611,3681,198142,511561,642733,3739,11056,14199
Plomin,51,10,4,4,1999,1996,1997,1993,99,186,244,249,27,63,138,88,13,15,25,16,13.2,994,1013,13500,33011,40891,265,761,936
Trogir,49,27,70,29,1995,1992,1992,1992,646,1412,668,1288,63,260,232,279,11,253,249,436,98.0,7366,7507,334633,735472,974994,6829,16365,22039
Ploce,42,30,91,133,2000,1999,2001,2001,255,364,289,294,21,28,31,31,22,112,90,78,34.0,2584,2634,148844,426924,530985,3544,12503,15652
Zirje,40,27,150,62,1991,1992,1983,1997,726,1553,662,696,42,150,485,204,42,120,57,91,93.7,7101,7237,229192,583216,726348,5730,15121,17908
Jelsa,39,9,35,14,1998,1992,1997,1998,740,2013,1219,874,27,80,190,140,29,70,170,99,23.4,1757,1790,207971,427889,544565,5333,12388,16505
Zadar,38,14,41,12,2004,1996,2005,1997,96,549,216,179,14,25,30,33,18,44,91,96,25.9,1963,2001,141671,340873,433905,3728,9787,12713
