Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Italy,1415,461,11460,7195,1993,2000,2002,2004,216,540,354,377,17,63,271,251,16,60,57,73,2660.0,204844,208777,12182399,36313410,43330025,8609,26471,29659
Greece,256,132,6523,3589,1998,1995,2003,2005,818,970,821,1066,65,86,79,130,12,67,41,84,1336.7,103259,105242,5202099,17570387,19743093,20321,70249,79132
Slovenia,199,89,1035,849,2001,2000,2003,2004,166,348,237,220,15,31,30,32,11,44,40,62,251.1,19351,19723,1232231,3738600,4322649,6192,20141,23494
Turkey,155,131,5323,9171,1999,2001,2006,2007,1151,1414,1449,1414,114,134,212,193,28,58,71,59,654.1,50509,51478,5246727,12956616,15196700,33850,102232,131894
Montenegro,135,33,242,116,1982,1997,1999,1995,164,363,167,315,19,39,31,59,22,47,18,32,75.8,5816,5927,236712,860502,1084045,1753,6449,7758
Malta,93,55,1607,1206,2003,2003,2002,2005,772,934,806,929,70,88,87,123,15,85,58,100,376.5,29080,29639,1827240,5714212,6361721,19648,63440,70832
Albania,63,39,329,214,1990,1990,1996,1993,524,789,894,968,64,69,125,109,19,50,38,70,85.4,6538,6663,776962,2000471,2516533,12333,32964,38576
Spain,38,33,804,1035,2006,2006,2006,2007,1675,1942,1992,2096,152,175,165,175,56,142,115,134,172.7,13327,13583,1045730,3229693,4217650,27519,107910,135007
France,33,19,195,225,1991,1999,1998,2010,583,866,564,616,28,67,64,74,14,28,33,17,43.8,3353,3418,266898,711889,910233,8088,24448,29832
Egypt,33,29,815,1187,1994,1995,2006,2007,1285,1546,1354,1289,185,216,150,149,41,102,40,42,130.2,10038,10230,943059,2524539,3120937,28578,90557,114833
Lebanon,28,10,157,118,1973,1976,1974,1975,1843,1804,1810,1814,152,190,196,200,41,45,54,50,34.9,2641,2692,344626,988892,1413536,12308,40741,58406
Israel,25,7,134,175,1978,1983,1982,1985,1316,1227,1222,1209,144,158,178,189,51,63,66,70,28.2,2125,2166,303037,866520,1257063,12121,41673,58960
Tunisia,24,23,133,206,1994,1994,1998,1999,945,1182,1003,969,129,231,263,180,64,65,48,44,25.0,1905,1942,458531,1193389,1624970,19105,57946,78533
United States of America,21,21,4942,8940,2007,2007,2008,2008,5930,6624,6554,6499,490,560,709,686,114,108,124,121,448.2,34632,35297,2701456,7576016,8807038,128641,507412,620856
Gibraltar,21,21,1956,3582,2010,2010,2011,2011,2091,2194,2288,2298,147,177,202,204,77,128,152,156,286.5,22189,22615,1100559,2595582,3092244,52408,182466,220677
Libya,15,14,333,575,1987,1988,2002,2004,1007,1156,1024,1013,126,137,126,125,28,48,66,68,45.2,3486,3553,334949,811209,968800,22330,65317,82967
Russian Federation,14,14,2320,4244,2006,2006,2010,2010,4518,3620,4227,4258,406,368,415,415,26,43,29,29,225.8,17437,17772,2080896,4613032,5186079,148635,395989,496820
Cyprus,8,7,187,289,1994,1997,1999,1999,1445,1580,1455,1421,225,222,224,219,36,102,160,147,38.9,2995,3052,211946,523266,648405,26493,84907,107067
Algeria,5,5,33,46,2004,2004,2005,2005,1350,1337,1381,1383,131,158,134,134,70,65,74,75,8.5,653,666,94201,274255,383560,18840,70684,92837
Bosnia and Herzegovina,5,3,28,47,1992,1992,1994,1994,254,476,936,1029,27,195,57,51,11,12,17,17,6.1,469,478,26626,48757,58865,5325,15162,17719
Morocco,4,4,79,108,2003,2003,2005,2005,1853,2201,2044,2073,217,216,204,208,24,159,350,342,21.6,1672,1704,127655,407257,503550,31914,122954,153694
United Arab Emirates,4,2,352,676,2016,2013,2008,2008,518,2206,4040,4111,26,198,381,382,35,35,41,41,37.0,2868,2923,253457,478530,540753,63364,165926,200839
Syrian Arab Republic,3,3,90,126,1976,1976,1976,1976,1621,2453,3764,3711,158,211,305,303,115,393,982,973,17.7,1359,1385,81339,228956,344424,27113,111291,149492
Iraq,3,3,1170,2245,2005,2005,2005,2005,4689,4664,4664,4664,443,432,432,432,29,62,62,63,105.3,8159,8316,821717,1548349,1744233,273906,719266,868886
Iran (Islamic Republic of),3,3,1143,2220,2009,2009,2009,2009,4795,4614,4607,4609,429,423,424,424,28,27,27,27,86.8,6727,6856,812692,1531343,1725076,270897,711366,859343
Germany,3,3,124,171,2011,2011,2012,2012,4498,4189,4345,4366,377,354,365,364,33,49,42,42,20.3,1555,1584,112594,366980,524277,37531,184046,242737
Netherlands,3,3,345,523,2009,2009,2009,2010,3172,3101,3089,3121,258,260,260,258,90,112,121,110,36.3,2798,2851,130284,528665,672087,43428,257196,330371
Lithuania,3,2,130,178,2010,2010,2010,2010,4635,4566,4543,4543,384,382,396,396,61,62,63,63,24.7,1887,1923,67404,246112,363386,22468,134431,183579
Singapore,3,2,50,75,2015,2014,2010,2010,2042,1793,2248,2298,204,1104,294,210,5,118,15,5,12.6,962,980,44005,112326,166599,14668,58529,76087
Romania,2,2,11,9,1974,1974,1978,1975,1969,1969,2151,1928,206,206,223,209,26,26,19,25,2.4,181,184,28511,81791,117540,14255,46466,66829
Brazil,2,2,965,1867,2004,2004,2005,2005,5271,5271,5274,5265,558,558,571,569,196,196,179,182,52.4,4055,4133,419941,832995,959224,209971,594941,687071
Canada,2,2,396,690,2006,2006,2006,2006,4661,4661,4489,4478,413,413,399,397,20,20,22,22,41.3,3183,3244,270993,837153,941242,135497,490597,608649
Poland,2,2,312,578,2006,2006,2005,2005,5484,5484,6379,6503,496,496,573,579,88,88,55,52,26.4,2007,2046,126367,384311,461841,63184,301936,377030
Ukraine,1,1,160,285,2012,2012,2012,2012,3041,3041,3041,3041,268,268,268,268,0,0,0,0,15.0,1165,1187,58071,170454,194724,58071,265357,324301
Jordan,1,1,14,18,1981,1981,1981,1981,2103,2103,2103,2103,181,181,181,181,82,82,82,82,4.5,343,350,31012,90969,125453,31012,124241,156654
United Kingdom of Great Britain and Northern Ireland,1,1,192,356,2004,2004,2004,2004,3364,3364,3364,3364,289,289,289,289,36,36,36,36,17.7,1372,1398,184205,387917,427176,184205,452432,565487
Grenada,1,1,0,0,2002,2002,2002,2002,1440,1440,1440,1440,1460,1460,1460,1460,29,29,29,29,2.4,177,181,3554,7238,9118,3554,8265,10896
Oman,1,1,335,658,2004,2004,2004,2004,4134,4134,4134,4134,392,392,392,392,32,32,32,32,27.4,2120,2161,240714,453573,510955,240714,632105,763594
Portugal,1,1,16,13,2000,2000,2000,2000,1819,1819,1819,1819,155,155,155,155,123,123,123,123,6.3,487,497,14053,25895,30192,14053,33030,35062
Saudi Arabia,1,1,22,23,1998,1998,1998,1998,2239,2239,2239,2239,206,206,206,206,87,87,87,87,4.2,319,325,8538,31174,46029,8538,51083,69759
Bulgaria,1,1,32,52,2006,2006,2006,2006,1282,1282,1282,1282,148,148,148,148,79,79,79,79,5.5,423,431,9970,73015,84185,9970,86098,105839
Djibouti,1,1,24,34,2008,2008,2008,2008,3046,3046,3046,3046,261,261,261,261,35,35,35,35,6.2,475,484,12831,46849,69173,12831,76769,104836
Sweden,1,1,199,370,2015,2015,2015,2015,4751,4751,4751,4751,402,402,402,402,19,19,19,19,15.1,1165,1187,75411,221352,252869,75411,344593,421138
India,1,1,162,279,2011,2011,2011,2011,4900,4900,4900,4900,443,443,443,443,54,54,54,54,14.2,1103,1124,124516,246440,305665,124516,397509,462178
Denmark,1,1,177,332,2004,2004,2004,2004,4270,4270,4270,4270,308,308,308,308,87,87,87,87,14.1,1089,1110,67687,198682,226971,67687,309301,378006
