int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,5,3,2017,2017,2016,2016,4397633,2614692,137,204,208,205,4,300
Liquefied gas tanker,1,1,2005,2005,2005,2005,80665618,70044623,827,827,827,827,10,618
Miscellaneous - fishing,104,39,1990,1989,1989,1990,53554341,29183394,249,1135,721,703,69,5200
General cargo,6,6,1990,1990,1989,1990,4321911,5399066,124,203,145,143,2,175
Chemical tanker,6,3,2001,1998,2011,2011,19475535,28229677,375,598,968,966,5,414
Container,1,1,2019,2019,2019,2019,12600723,12209517,83,83,83,83,0,20
Oil tanker,4,4,1992,1992,2001,2001,123336961,199691944,1037,2580,1649,1619,31,2360
Bulk carrier,1,1,2016,2016,2016,2016,43208445,83110291,460,460,460,460,3,195
