Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,98,15,1154,1318,2009,2010,2011,2011,722,612,656,641,49,51,54,54,71,63,76,75,252.8,19439,19812,1160793,4341832,4837854,11845,46175,55208
General cargo,31,14,324,435,2007,2007,2008,2008,1428,1755,1505,1470,140,164,200,199,71,79,107,108,77.6,5944,6058,318315,1021985,1463774,10268,47990,64094
Chemical tanker,27,7,107,162,2009,2007,2008,2008,851,788,903,905,93,88,95,95,35,36,39,39,43.0,3286,3349,350246,961143,1193209,12972,40564,50360
Oil tanker,24,1,139,180,2001,2001,2001,2001,940,940,932,932,95,95,104,104,35,35,38,38,58.0,4447,4532,318990,341750,321882,13291,45276,60181
Liquefied gas tanker,13,1,29,30,2011,2011,2011,2011,524,524,606,606,64,64,70,70,22,22,28,28,16.1,1235,1258,22534,65285,72095,1733,9490,12480
Vehicle,12,1,198,54,2010,2010,2010,2010,810,810,817,817,70,70,71,71,23,23,22,22,32.5,2500,2549,54519,240369,278372,4543,17269,18585
Ro-Ro,11,4,564,259,2003,2004,2005,2006,3798,3737,3747,3742,270,276,282,281,73,64,66,67,121.1,9260,9438,615178,3946662,2035936,55925,135370,182421
Service - other,8,4,30,15,1985,1995,2004,2004,507,864,1109,905,199,379,460,479,56,70,63,75,14.1,1064,1084,105057,215555,232273,13132,29221,32995
Cruise,3,2,49,6,2015,2014,2014,2015,684,1019,939,963,58,83,107,110,24,22,19,20,11.6,881,898,21476,139097,255314,7159,43905,73257
Service - tug,3,3,2,1,2017,2017,2017,2017,2023,1777,1985,1923,223,181,240,233,376,1559,500,566,8.9,667,680,28817,68144,91241,9606,24804,33489
Bulk carrier,2,2,30,53,2012,2012,2012,2012,1067,1067,652,635,161,161,107,99,60,60,39,36,3.4,259,264,35646,86346,102514,17823,60142,74577
Other liquids tankers,1,1,46,59,1994,1994,1994,1994,3015,3015,3015,3015,175,175,175,175,19,19,19,19,12.3,950,968,30396,86791,187121,30396,105304,170161
