dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,72,59,2010,2011,2011,2011,1355916205,2427214060,409,527,534,536,129,9741
Refrigerated bulk,4,4,1998,1998,1993,1993,181773928,183088539,2715,3325,5203,5194,75,5644
General cargo,293,181,1998,1999,2001,2001,471627785,698158570,259,359,459,471,117,8803
Chemical tanker,30,25,2006,2007,2006,2006,87238690,136598667,222,230,244,244,47,3543
Oil tanker,119,11,1982,1989,1985,1986,98878769,142452820,193,156,337,333,73,5463
Service - other,10,6,1981,1980,1988,1988,3396122,4519578,195,191,246,257,5,380
Container,13,9,2005,2005,2010,2010,73901034,81603236,237,280,227,233,12,933
Miscellaneous - fishing,94,26,1986,1985,1988,1987,31649153,9459234,778,1739,1919,1249,190,14287
Service - tug,46,10,1998,1991,2003,2000,9924520,4059987,309,296,706,655,43,3215
Ferry-RoPax,5,3,1988,1990,1989,1989,117450389,12914431,75,588,970,605,17,1263
Cruise,2,2,1976,1976,1989,1988,5421919,764607,148,148,172,169,2,126
Liquefied gas tanker,2,2,2004,2004,2007,2007,6511153,6007672,683,683,895,885,3,244
