int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1000,783,2011,2011,2011,2011,178044388766,304157080703,2689,3858,4900,4913,11979,927608
Chemical tanker,426,222,2009,2010,2011,2011,29575836896,49175394670,2155,3832,3592,3578,4877,375901
Vehicle,233,153,2007,2007,2007,2007,31423499664,10502951129,1341,2322,2274,2266,1794,138953
Oil tanker,163,114,2009,2009,2009,2009,27795924607,51050169561,3399,3328,3405,3413,4090,316551
Ferry-RoPax,33,21,2005,2004,2004,2007,138330838,28338578,448,1994,903,1175,109,8204
Miscellaneous - fishing,123,85,1994,1994,1993,1992,718818055,502753011,283,3125,4014,3454,420,31776
General cargo,344,205,2006,2004,2011,2011,16872831023,25442636064,938,2957,3314,3402,2009,154521
Liquefied gas tanker,98,57,2011,2011,2009,2009,37017279044,32073680619,4388,5292,5841,5684,5202,324831
Container,820,227,2009,2009,2010,2010,84086712013,96025715717,1337,1708,1530,1543,9211,713299
Ro-Ro,7,7,1988,1988,1998,2002,6609755,4735237,139,807,207,295,26,1949
Cruise,95,39,2003,1999,2000,1999,2126421313,253428982,578,954,763,835,659,50630
Service - tug,81,62,2008,2007,1981,1976,54995764,80727614,236,1284,1885,4325,149,11163
Service - other,32,18,2003,2005,1999,2002,499721843,248072972,1159,2240,3041,2956,198,15036
Refrigerated bulk,71,40,1993,1993,1993,1993,3302149527,3556380052,4440,4141,3779,3770,1338,101988
Offshore,32,12,1999,1998,2013,2011,756711111,945799998,284,1558,3157,3347,107,7595
Other liquids tankers,2,2,2015,2015,2014,2015,109691655,153137277,1953,1953,1964,1953,13,988
Ferry-pax only,32,3,2013,2004,2015,2015,74234616,9791427,594,449,562,538,36,2735
