dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,1023,131,2009,2010,2009,2009,9913245447,16537198159,336,443,435,435,3035,234453
Vehicle,191,119,2008,2008,2008,2008,9159956215,3075923868,831,833,806,802,550,42604
Bulk carrier,820,383,2011,2011,2010,2010,15263270344,26631637637,528,515,618,624,1551,120005
Oil tanker,457,52,2007,2008,2009,2010,3733011052,6696251674,261,397,332,332,2175,167789
Ferry-RoPax,1176,17,2003,2003,1989,1992,1075634756,424856785,263,1318,356,353,625,46989
Miscellaneous - fishing,5290,70,2003,1995,2000,2001,2172596317,2188206175,113,1840,378,353,1773,133208
General cargo,2357,149,1988,2004,2004,2005,3755350429,5465347683,249,495,469,476,962,72966
Ro-Ro,761,6,1985,1984,1986,1988,1830777007,883577143,277,291,400,420,684,52308
Container,1344,181,2008,2009,2010,2010,34542582899,39118347897,282,386,409,411,3793,293426
Service - tug,1243,60,2011,2008,2008,2005,123049066,84068288,132,454,256,279,588,44164
Liquefied gas tanker,34,14,2013,2010,2010,2010,1430288236,1316964945,1402,1083,1101,1040,224,15678
Cruise,400,30,1996,2000,2002,2002,5223400004,528625279,248,529,615,592,1753,134560
Offshore,180,7,2005,1995,1982,1986,52984035,50944168,136,554,420,367,97,7268
Other liquids tankers,1,1,2014,2014,2014,2014,13757534,19095806,487,487,487,487,6,451
Refrigerated bulk,96,21,1981,1993,1990,1990,156107324,166757999,209,315,389,391,176,13306
Service - other,31,7,2008,2011,2016,2016,66354366,22785883,903,5076,1977,1148,67,5040
Ferry-pax only,556,2,2003,2010,2005,2003,90281937,55194432,100,112,127,126,84,6310
