port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Rauco - Puerto Cisnes,3,3,1986,1986,1982,1982,669850,966244,170,276,328,331,0,30
Calbuco - Puerto Chacabuco,23,13,2000,2000,2002,2002,7127361,7158689,350,348,418,427,9,695
Iquique - San Vicente,9,8,2008,2008,2006,2007,624100980,793811075,1047,1060,1068,1064,61,4751
San Vicente - Vina Del Mar,1,1,2010,2010,2010,2010,6890117,9872577,293,293,293,293,1,79
Isla Guarello - Quintero,1,1,2009,2009,2009,2009,62426575,119520788,1454,1454,1454,1454,5,350
San Antonio - Caldera,2,2,2011,2011,2011,2011,22927462,33330675,488,488,488,487,2,162
Caldera - Puerto Patache,11,10,2010,2011,2011,2011,130089852,219795735,410,441,442,443,19,1469
Queilen - Quellon Viejo,11,8,1995,1989,1994,1993,1872554,2112180,95,272,178,183,1,110
Huasco - San Vicente,32,8,2008,2011,2006,2006,767561652,1280126596,536,538,896,889,78,6010
Tocopilla - Puerto Patache,4,4,2005,2005,2010,2010,21584182,40321270,158,139,172,172,4,330
Coronel - Caldera,1,1,2010,2010,2010,2010,18675653,32384531,626,626,626,626,2,129
Puerto Eden - Quellon Viejo,19,11,2002,2002,2003,2004,9268711,12028498,475,646,557,533,9,712
Puerto Montt - Quinchao,196,34,2002,1993,2001,2002,23904714,27438562,77,150,107,106,22,1630
Puerto Eden - Pecket,12,6,2000,2002,2002,2007,6993858,7642679,461,668,565,490,9,680
Tres Puentes - Quellon Viejo,5,3,2002,2004,2004,2004,5042770,5579598,1372,1384,1347,1325,5,404
Isla Guarello - Tres Puentes,6,4,2002,2000,1996,1996,2957036,2748948,823,1116,1272,1308,7,502
Lirquen - Iquique,6,6,2010,2010,2009,2010,256121240,332023500,1012,1017,1009,1012,31,2421
Chonchi - Melinka,63,7,2007,2009,2008,2008,9071599,11174897,104,145,117,119,7,550
Puerto Montt - Chonchi,60,18,2002,1998,2004,2007,12477485,13312460,106,199,203,196,12,929
Chonchi - Calbuco,56,14,2006,2000,2009,2010,12923481,16021580,121,188,193,194,15,1139
Calbuco - Pargua,17,8,1979,1988,1980,1981,1614755,1495510,115,139,132,128,2,178
Pargua - Quinchao,10,5,1979,1988,1993,1994,2318975,3464427,105,243,265,317,2,177
Quinchao - Melinka,4,3,2001,2004,2003,2005,1415658,1772052,253,280,279,274,1,77
Chonchi - Hualaihue,69,9,2005,2000,2007,2007,9335239,11307563,78,100,107,108,8,585
Curaco De Velez - Achao,1,1,2013,2013,2013,2013,1052370,1484557,669,669,669,669,1,53
Melinka - Calbuco,27,13,1999,2001,2003,2002,10031735,13094760,172,420,318,326,7,530
Calbuco - Hualaihue,19,12,1997,1997,1998,1999,3945689,4724855,177,216,253,256,4,310
Iquique - Caldera,11,8,2006,2007,2008,2009,114100453,181243048,442,515,440,438,27,2101
Iquique - Pisagua,25,3,1991,2001,2005,2001,7689370,5948280,79,77,79,85,4,272
Pisagua - Arica,3,2,1994,1996,2002,2002,2056665,2700213,78,85,77,77,0,31
Iquique - Caleta Patillos,12,3,1999,2000,1997,1997,4718689,5638317,49,63,48,49,1,106
