int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,159,69,2005,2005,2000,2001,2469117323,3001846736,566,1775,1903,1754,469,36022
Liquefied gas tanker,110,53,2011,2012,2013,2013,35014782495,29840733684,2380,4578,5626,5327,3979,246806
Chemical tanker,75,29,2009,2009,2013,2014,4208211884,6907428392,773,2172,3489,3546,561,42392
Container,76,22,2004,2005,2004,2004,1735593984,2133958564,654,628,743,746,341,26347
Oil tanker,111,93,2008,2008,2011,2011,33945285199,64037898150,3525,4015,4408,4437,2325,179929
Bulk carrier,87,64,2007,2007,2007,2006,2637432078,4339031461,585,1256,1383,1374,365,28151
Service - tug,83,48,2005,2005,2006,2006,65674256,65830346,198,699,504,530,57,4315
Offshore,197,58,2011,2009,2008,2002,156810069,148523173,129,932,313,228,133,9974
Ro-Ro,35,17,2006,2007,2008,2008,534846382,281020830,578,697,725,710,104,7968
Service - other,65,19,2011,2006,2003,2002,269811370,160575602,287,2801,2688,2822,63,4812
Ferry-RoPax,2,2,1984,1984,1990,1988,63462,14504,18,18,22,20,3,219
Vehicle,4,2,2011,2012,2011,2011,130118034,48410793,610,610,544,544,9,662
Miscellaneous - fishing,3,2,1989,1987,1985,1983,2593976,2521897,576,1143,707,616,5,376
Refrigerated bulk,14,10,1998,1998,2005,2005,112647489,124803121,817,874,1097,1101,57,4374
Ferry-pax only,11,3,2004,1996,1998,1999,7092372,2659431,119,810,1183,1149,20,1505
