dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,158,25,2008,2008,2009,2009,1021896916,1552139028,401,629,569,561,440,33452
Oil tanker,70,22,2008,2008,2009,2009,789127582,1288278869,806,335,495,472,244,18651
Service - tug,188,17,2008,2007,2007,2005,16735627,14370241,103,601,261,257,55,4095
Cruise,20,18,2004,2003,2007,2004,651409363,69524705,646,648,654,659,139,10774
Container,32,10,2006,2005,2005,2005,412563936,517313411,765,741,771,779,80,6174
Bulk carrier,82,25,1997,2005,2004,2005,867232738,1467332036,658,679,761,782,104,8039
General cargo,37,13,2003,2001,2006,2007,198702354,282750887,467,659,681,693,42,3211
Liquefied gas tanker,6,4,2005,2007,2001,2001,5341144709,4283776803,1685,7492,9037,8822,936,55376
Service - other,8,6,2004,2004,2001,2001,65264587,99313900,419,1320,1245,1290,23,1775
Ro-Ro,11,5,1988,1994,1991,1991,38788946,22717068,585,869,504,493,41,3067
Miscellaneous - fishing,1,1,1979,1979,1979,1979,6027502,6574500,5260,5260,5260,5260,4,326
