int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Port Of Sohar,2608,1274,2006,2007,2009,2009,141587923135,193412163120,541,1502,1683,1771,13660,1048960
Mina Qabus,456,335,2007,2008,2010,2010,40169566095,51182394195,590,1460,1449,1490,4122,305340
Qalhat Lng Terminal,77,39,2005,2006,2005,2005,34750476890,26219575013,3970,4365,4730,4650,4408,266001
Sur,121,60,2005,2006,2004,2004,41253127996,32908490686,1357,3252,5537,4505,5595,337148
Salalah,1079,323,2008,2007,2010,2009,180111777359,198341400165,1356,2056,2315,2272,18141,1404591
Mina Al Fahl,76,67,2010,2010,2011,2011,26294431253,50671547048,3116,2550,2445,2452,1737,134530
Fahal,137,123,2007,2007,2009,2009,36035063145,68255942300,794,1926,2160,2236,2243,173534
Duqm,210,169,2007,2007,2006,2006,19924762834,33297491897,1142,2418,3552,3650,2427,186543
Mina Raysut,567,434,2005,2006,2007,2008,29339926542,40238985672,1152,1667,1707,1680,3464,267621
Muscat,10,10,2008,2008,2011,2011,999481759,1781223506,455,4177,1902,2083,80,6159
