int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,456,107,2003,2004,2006,2006,26660341253,33136796223,2341,2100,2109,2092,3870,299444
Vehicle,157,108,2008,2008,2009,2009,11959112894,3981659857,1378,1319,1324,1325,810,62712
Bulk carrier,137,124,2009,2010,2010,2009,6767746752,11742643475,1608,1730,1771,1780,569,44044
General cargo,83,54,2005,2005,2005,2004,1462899643,1943127116,1200,1629,1553,1524,257,19735
Ferry-RoPax,5,3,2014,2015,2015,2015,793078,462527,126,106,128,124,8,602
Chemical tanker,67,51,2007,2009,2009,2009,4610707929,7530492027,2678,2569,2583,2574,556,42995
Service - tug,17,3,2009,2008,2008,2007,899838,908079,85,149,182,228,3,207
Offshore,11,6,1996,2004,2006,2004,64285321,70776386,641,2678,2477,2432,42,3212
Oil tanker,71,45,2006,2009,2012,2012,7488941744,13067050251,2591,2594,2851,2859,781,60347
Service - other,6,4,2014,2014,2012,2012,26999122,10173722,731,899,1009,1012,28,2106
Ro-Ro,38,6,2011,2008,2012,2012,1779712775,1623487302,1197,1058,997,998,219,16950
Liquefied gas tanker,23,6,2012,2012,2010,2009,228676327,264094023,1461,2271,2123,2189,142,10767
Ferry-pax only,4,4,2008,2008,2016,2016,9583833,1394615,299,4956,4538,5113,4,264
Cruise,9,6,1990,1988,1992,1988,65876757,9258546,247,378,372,424,24,1826
Refrigerated bulk,5,5,1992,1992,1992,1992,183373282,189455177,3864,3583,3565,3585,93,7056
Other liquids tankers,1,1,2009,2009,2009,2009,84312709,95370025,2728,2728,2728,2728,9,679
Miscellaneous - fishing,3,3,2000,2000,2005,1998,14687503,9560159,1758,7132,3303,5795,7,516
