dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - other,48,4,1979,1984,1989,1987,18809127,23296743,317,671,901,857,34,2565
Chemical tanker,6,5,2009,2009,2010,2010,5185984,7660905,86,147,134,138,3,226
Miscellaneous - fishing,697,91,1993,1991,1995,1997,2784827186,1789654356,694,2890,2516,2006,1162,87567
Bulk carrier,1,1,1979,1979,1979,1979,1353946,1922047,428,428,428,428,1,50
General cargo,152,13,1980,1985,1981,1981,73241629,96549713,336,355,325,328,44,3290
Cruise,2,2,1976,1976,1967,1965,1371942,287693,240,240,202,233,1,48
Refrigerated bulk,19,12,1993,1992,1993,1993,61590136,66059952,522,461,600,597,52,3954
Ro-Ro,12,2,1981,1980,1981,1981,22496848,21533498,309,309,406,406,10,759
Offshore,40,2,2002,2003,2003,2003,63582887,92824159,415,583,700,693,70,5277
Ferry-RoPax,25,2,2001,1992,2005,2005,1161174570,243565806,2104,1555,4304,4302,381,29279
Service - tug,15,1,1999,1999,1999,1999,537829,305800,196,196,188,188,8,607
