int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,278,53,1991,1993,1996,1997,516670409,668539976,539,874,662,657,179,13673
Service - other,15,11,1984,1989,1998,1994,23763145,15864876,510,911,710,924,20,1507
Refrigerated bulk,139,50,1994,1992,1994,1994,1044407473,1120747997,1424,1608,1496,1520,784,59127
Miscellaneous - fishing,333,159,1993,1991,1994,1996,2149163774,1229589797,1113,2678,2684,2317,867,65325
Chemical tanker,74,23,2004,2002,2008,2007,238209960,350666280,820,742,818,813,95,7145
Bulk carrier,9,3,1979,1986,1979,1979,22480795,30235880,756,713,779,778,8,630
Cruise,32,23,1988,1991,1999,1993,784508767,93276586,502,515,597,577,160,12267
Container,214,14,2003,2006,2002,2002,1429461305,1718078294,566,631,553,554,431,32731
Ro-Ro,54,3,1980,1980,1980,1980,267230684,254943165,722,586,1085,1084,117,8816
Offshore,5,5,2008,2008,2009,2006,4729933,3923267,618,664,544,422,6,452
Service - tug,4,4,1989,1989,1988,1988,331772,229946,384,336,360,375,1,101
Ferry-RoPax,110,3,2003,1996,2003,2003,1775825078,304235954,565,1912,456,459,307,23292
Oil tanker,2,1,1962,1962,1962,1962,257417,379885,390,390,390,390,1,92
Ferry-pax only,1,1,1991,1991,1991,1991,646383,174203,4584,4584,4584,4584,1,107
Vehicle,11,1,1996,1996,1996,1996,159329620,64045823,738,738,763,763,34,2566
Yacht,2,1,1974,1974,1974,1974,486785,714546,1116,1116,1116,1116,2,153
