Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,653,14,87,76,2010,1999,2009,2009,47,236,69,71,10,205,196,197,5,67,37,36,76.4,5738,5848,1956695,4626995,6195296,2996,7737,10447
Container,104,28,684,875,2002,2002,2002,2002,180,146,172,172,17,23,25,25,30,29,30,30,137.9,10680,10885,694865,1874270,2102061,6681,19744,22849
Miscellaneous - fishing,49,24,574,476,1992,1992,1994,1996,4160,7075,7043,7129,522,755,1419,1344,35,180,548,587,294.9,22142,22567,3343979,7417591,8433049,68244,160610,190394
Chemical tanker,48,8,47,76,1994,2006,1997,1997,198,304,210,207,48,46,80,80,77,62,84,86,95.4,7184,7322,112544,347379,438566,2345,8036,10246
Bulk carrier,41,40,298,514,2009,2009,2009,2009,223,258,260,261,148,408,587,602,126,171,181,182,106.1,8210,8367,217918,461045,594406,5315,18270,21726
Service - other,34,6,40,32,2006,2009,2010,2011,395,985,410,470,65,172,199,200,6,23,103,95,27.1,2038,2077,220030,451454,486469,6471,14400,16260
General cargo,30,19,64,91,1998,2001,2003,2003,187,226,236,236,22,57,42,42,90,112,119,121,26.4,2000,2038,63045,204393,296212,2101,9756,13368
Vehicle,7,4,33,11,2002,2000,2003,2002,73,90,89,95,38,37,44,45,36,38,34,36,4.6,357,364,11553,50935,58988,1650,6273,6751
Refrigerated bulk,4,4,1,1,1985,1985,1982,1982,52,74,83,85,18,18,17,17,104,93,50,50,5.4,404,412,3216,7027,7916,804,1713,1850
Liquefied gas tanker,2,1,9,10,2013,2013,2013,2013,186,186,186,186,14,14,14,14,20,20,19,19,1.3,95,97,7335,21250,23467,3667,20079,26405
Ro-Ro,2,2,19,11,2010,2010,2007,2009,173,173,176,158,14,14,16,14,40,40,50,43,2.9,228,232,11967,22051,25711,5984,14063,14929
Oil tanker,1,1,3,6,2005,2005,2005,2005,52,52,52,52,155,155,155,155,9,9,9,9,9.4,731,745,2890,6086,6702,2890,7098,8872
