Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,579,164,43840,55926,2004,2005,2006,2006,1860,2509,2152,2168,151,195,276,276,20,25,23,23,5864.7,453958,462674,45295136,133648373,148479490,78230,246155,286019
Bulk carrier,323,295,18271,30840,2008,2008,2009,2009,2046,2288,2183,2177,206,270,408,409,76,152,127,128,1764.7,136474,139094,12453048,28064287,37404686,38554,142067,172245
Refrigerated bulk,226,72,2230,2543,1996,1992,2001,2001,1116,1319,1472,1471,71,156,245,247,48,101,70,72,1407.1,106947,109001,7544955,16486093,18570034,33385,71143,76813
General cargo,221,120,4194,5841,2001,2005,2005,2005,1138,1916,1824,1789,144,205,364,361,53,72,76,78,767.8,58965,60097,3523352,11666597,16850158,15943,79143,106515
Miscellaneous - fishing,131,66,1290,1176,1991,1991,1993,1993,4309,6999,6250,6321,528,811,1507,1463,71,274,510,552,637.2,47890,48809,8269908,18344249,20855554,63129,148571,176122
Chemical tanker,126,100,3319,5421,2007,2008,2008,2008,918,1582,1719,1746,114,209,425,430,34,59,81,81,703.9,54178,55218,2277605,10305034,12132589,18076,94148,115021
Ro-Ro,102,20,7545,3436,2012,2009,2013,2012,453,1444,1282,1273,31,108,203,202,18,46,31,32,577.3,44568,45424,3698277,6896868,7966424,36258,85231,90596
Oil tanker,96,55,11789,22084,2009,2009,2010,2010,927,2644,2941,2988,148,350,624,627,36,51,47,47,1201.3,92815,94597,9040781,16212095,18343362,94175,248233,304068
Vehicle,80,42,8036,2695,2006,2007,2007,2007,785,2619,1795,1705,56,185,306,300,12,25,39,39,456.8,35360,36039,2728595,12030177,13932171,34107,129642,139524
Liquefied gas tanker,50,16,1245,1359,2013,2011,2014,2014,520,1000,990,972,86,192,234,239,42,112,61,64,200.3,15162,15454,959476,2915442,3158871,19190,107180,142225
Service - tug,37,27,141,111,2005,2006,2011,2011,967,2187,1821,1552,143,550,756,683,84,213,131,153,116.3,8792,8960,2833750,6700965,8972230,76588,197764,267014
Service - other,18,11,435,207,2010,2007,2009,2006,2152,3163,3114,2858,233,299,327,424,257,715,1061,864,105.9,8038,8193,1441682,2958014,3187439,80093,178221,201237
Cruise,3,2,25,2,2001,2005,2002,2003,164,311,276,265,16,22,31,30,11,15,20,20,8.2,638,650,6310,52231,69653,2103,14527,17270
Ferry-pax only,2,1,0,0,1983,1983,1983,1983,411,411,411,411,49,49,49,49,175,175,172,172,0.8,59,60,5201,10593,13344,2601,6048,7973
