Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Port Bouet,357,48,505,527,2009,2001,2001,2002,50,3424,387,372,15,482,1057,916,5,219,572,532,289.3,21790,22209,3318302,7528723,9014439,9295,22708,28011
Baobab Marine Terminal,177,15,47,41,2011,1995,1998,1998,48,1532,118,111,10,204,276,263,4,97,87,74,27.4,2057,2097,570110,1328967,1723022,3221,8195,10765
Abidjan,157,79,654,800,2001,2002,2002,2005,192,1055,264,248,72,324,623,540,65,125,140,132,265.6,20278,20667,1427368,3326495,3925633,9092,23940,28856
Espoir Marine Terminal,144,15,40,39,2010,2008,2007,2008,44,1043,68,62,9,227,235,176,5,22,15,16,29.2,2224,2267,380998,903041,1187913,2646,6839,9100
San Pedro,115,48,542,708,1998,2002,2000,2000,188,275,198,198,19,149,38,35,34,78,45,46,147.3,11271,11488,604738,1635136,1942478,5259,16419,19793
Grand Lahou,9,6,13,15,2008,2006,2012,2011,367,541,138,126,29,121,64,41,4,9,10,9,3.6,271,277,45504,100496,112765,5056,12121,14125
Sassandra,6,6,5,4,1995,1995,2001,2000,341,689,576,414,35,96,285,246,11,13,8,9,3.7,280,285,24460,53460,61923,4077,9668,11607
Fresco,3,3,1,1,1991,1991,2001,1999,116,167,171,161,17,16,18,18,7,12,15,14,0.2,12,12,5733,13611,16658,1911,4913,6201
Kosagi,2,2,1,1,2001,2001,2001,2001,772,772,192,181,150,150,112,105,12,12,10,10,1.1,80,81,3328,9008,11854,1664,5794,7211
Jacqueville,2,2,43,35,2003,2003,1998,1999,10204,10204,10159,9908,1170,1170,1256,1243,15,15,13,13,19.6,1471,1499,248596,551434,626924,124298,292530,346776
Assinie-Mafia,1,1,5,5,2013,2013,2013,2013,196,196,196,196,10,10,10,10,8,8,8,8,0.5,36,37,3860,11182,12349,3860,21132,27789
Gbabam,1,1,1,1,1991,1991,1991,1991,309,309,309,309,16,16,16,16,9,9,9,9,0.4,29,30,3590,7963,9053,3590,8448,10015
Dabou,1,1,3,1,1990,1990,1990,1990,705,705,705,705,17,17,17,17,43,43,43,43,0.1,7,7,9450,20963,23833,9450,22241,26365
