Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Port Bouet,369,58,325,338,2009,1999,1999,1999,49,1189,186,177,11,229,234,199,6,99,151,127,148.8,11266,11483,1593951,3711794,4570081,4320,10967,13816
Baobab Marine Terminal,179,18,57,61,2012,1999,2007,2006,46,476,105,127,10,185,349,513,6,113,62,81,35.9,2711,2763,538232,1251386,1635956,3007,7689,10141
Abidjan,161,70,742,843,1999,2000,1997,1999,194,2688,346,299,29,386,770,603,31,108,278,237,353.7,26708,27221,2833709,6535633,7609813,17601,43953,52917
Espoir Marine Terminal,151,20,70,61,2010,2004,2006,2007,52,111,94,96,17,42,66,68,4,41,33,36,21.9,1666,1698,566608,1363710,1802072,3752,9828,13103
San Pedro,87,44,530,776,2003,2006,2008,2008,203,645,246,247,55,354,352,396,79,191,259,214,204.6,15705,16007,698509,1687209,1977707,8029,23241,27515
Grand Lahou,9,6,13,14,2008,2006,2012,2011,118,342,130,119,22,61,58,50,33,136,36,36,4.6,346,353,51890,113730,128994,5766,13730,16145
Sassandra,7,7,15,15,1996,1996,2000,2001,262,824,194,161,22,128,198,130,35,41,39,37,6.2,471,480,40074,94341,106988,5725,14369,16976
Assinie-Mafia,4,4,18,23,2003,2003,2001,2001,144,156,173,179,20,22,16,16,47,52,48,49,4.0,305,311,26469,68703,81360,6617,20842,25932
Fresco,3,3,4,5,2006,2006,2005,2004,312,1577,154,137,24,57,37,29,22,181,96,62,2.9,222,226,10729,28255,31529,3576,9767,11508
Jacqueville,3,3,2,2,1998,1998,2004,2004,309,261,200,178,16,18,22,22,35,38,29,31,1.5,115,118,10024,22216,25245,3341,7821,9228
Dabou,2,2,86,40,1996,1996,1990,1990,10293,10293,7646,4047,1098,1098,2076,2037,64,64,118,115,3.9,291,296,275843,613498,699099,137922,326469,387353
