int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,356,175,2003,2007,2007,2007,1374919089,2162155825,223,427,385,385,582,44390
General cargo,1560,711,1992,1996,1999,1999,2837000520,3966114523,224,407,476,469,818,62169
Liquefied gas tanker,47,13,2003,2006,2009,2008,152903612,162047335,346,424,372,375,56,4280
Offshore,48,15,2010,2011,2010,2008,145464296,163478031,450,876,829,791,94,7132
Service - tug,42,23,1998,1997,2001,2002,12816875,9313131,264,675,528,560,36,2723
Bulk carrier,421,317,2003,2005,2009,2009,7539197060,12503084908,362,897,951,960,870,67109
Service - other,20,16,1987,1987,1988,1984,31223279,29417708,344,1025,708,778,43,3219
Oil tanker,177,94,2007,2006,2008,2008,3184527888,5748442934,483,624,543,547,706,54322
Ro-Ro,101,6,1986,1987,1983,1983,516681923,376526921,453,486,482,477,229,17583
Vehicle,3,3,2007,2007,2006,2006,29662641,7876534,370,344,321,308,3,213
Container,339,42,2000,2001,2000,2000,1600201556,1980795528,236,366,305,302,463,35368
Refrigerated bulk,1,1,1998,1998,1998,1998,1404507,1440264,142,142,142,142,1,64
Ferry-RoPax,45,1,1994,1994,1994,1994,406936694,207170855,634,634,628,628,92,7024
Ferry-pax only,1,1,1995,1995,1995,1995,1807206,873047,8730,8730,8730,8730,5,408
Miscellaneous - fishing,4,2,1986,1984,1985,1987,2066371,2309368,181,180,189,197,1,87
