int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,356,175,2003,2007,2006,2006,1181690688,1865233139,199,345,331,332,769,58658
General cargo,1560,711,1992,1996,2000,1999,2466903180,3405144143,202,376,414,403,864,65511
Liquefied gas tanker,47,13,2003,2006,2008,2008,137641988,146333825,404,404,335,338,111,8397
Bulk carrier,421,317,2003,2005,2006,2006,3353165535,5495275236,209,432,423,422,535,41126
Service - other,20,16,1987,1987,1988,1984,72365086,77959607,372,3475,1640,2061,112,8425
Offshore,48,15,2010,2011,2009,2007,163061534,181009051,442,485,929,876,114,8651
Service - tug,41,22,1997,1996,2002,2004,14349829,10305622,335,607,598,622,31,2324
Oil tanker,177,94,2007,2006,2007,2007,2641653819,4692820922,447,560,450,446,1116,85951
Ro-Ro,101,6,1986,1987,1983,1984,441197334,327595149,434,524,412,415,240,18475
Container,339,42,2000,2001,2000,2000,1234444358,1532986970,190,301,235,234,397,30258
Vehicle,3,3,2007,2007,2006,2007,21699555,5913995,183,242,235,231,8,657
Refrigerated bulk,1,1,1998,1998,1998,1998,1606031,1646919,163,163,163,163,1,70
Ferry-RoPax,45,1,1994,1994,1994,1994,407829866,207625567,626,626,629,629,118,8959
Ferry-pax only,1,1,1995,1995,1995,1995,4412436,2131612,21316,21316,21316,21316,9,678
Miscellaneous - fishing,4,2,1986,1984,1988,1988,2668706,3985089,350,185,244,340,5,392
