dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,2543,373,2008,2010,2008,2008,45399541801,74830014198,689,750,837,838,10506,811482
Container,5830,241,2011,2010,2011,2011,141183249896,164678204278,253,325,396,400,16745,1296741
Liquefied gas tanker,1206,51,2010,2011,2010,2010,8064462944,8473687449,456,988,730,744,2873,217512
Offshore,1846,207,2010,2010,2012,2011,9776046005,10258648344,733,1413,1272,1293,6203,466346
Service - tug,2105,152,2009,2009,2010,2009,2212501559,1669957783,210,890,1116,1154,2124,159889
Bulk carrier,3186,1298,2010,2011,2010,2010,72669952183,127852740854,515,613,677,675,7804,603752
General cargo,883,305,2006,2007,2007,2007,13343320592,19734881269,547,602,656,654,2000,153077
Vehicle,398,72,2007,2008,2008,2007,11215605945,3543184990,371,421,506,504,742,57474
Oil tanker,2039,174,2006,2007,2009,2009,86653632137,150756682089,615,674,852,851,15533,1201715
Service - other,202,34,2000,2002,2003,2002,2227612157,2595588971,596,3412,2188,2399,599,45652
Cruise,488,40,2004,2003,2007,2006,13931748275,1353185891,269,357,333,334,3001,232420
Refrigerated bulk,6,6,1992,1992,1991,1991,21249281,23727818,404,423,424,425,34,2572
Ro-Ro,140,9,2000,2001,2001,2000,2102336605,997339340,242,245,265,265,238,18408
Other liquids tankers,8,3,2015,2015,2015,2015,148279973,205695470,474,388,679,690,27,2086
Ferry-RoPax,20,2,2009,2010,2009,2010,30266067,12072849,413,476,1610,1634,46,3468
Ferry-pax only,8,1,2003,2003,2003,2003,17516101,1135770,595,595,3155,3155,14,1021
Miscellaneous - fishing,13,1,2014,2014,2014,2014,28591565,11101468,1085,1085,1360,1360,13,1000
