int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,6423,3908,2010,2010,2010,2010,2549266916376,4815862063389,5678,5977,7077,7169,138291,10707419
Chemical tanker,998,572,2010,2010,2010,2010,73215628968,120632274292,3592,3465,3339,3340,11819,913290
Container,1647,261,2010,2010,2012,2012,317349394539,361496648275,1176,2783,2823,2829,32920,2549689
Liquefied gas tanker,204,99,2011,2011,2012,2011,32890621967,30902613924,4029,3779,4351,4218,4241,293466
Service - tug,175,155,2008,2008,2009,2008,493767897,422033539,367,1150,1610,1755,452,34222
Oil tanker,639,392,2009,2009,2011,2011,241857074054,457517639728,4033,4724,5079,5167,17674,1367834
Offshore,228,222,2009,2010,2009,2009,3411243742,4328320037,824,1563,1588,1773,1150,86776
General cargo,1013,473,2004,2006,2006,2006,87256417023,124832043740,3424,3395,3805,3833,9866,759182
Vehicle,267,89,2007,2008,2007,2007,39705956703,12898129328,2231,3313,2643,2668,2409,186493
Miscellaneous - fishing,23,14,1999,2000,1994,1992,126098774,95247038,3505,3623,3748,4320,94,7101
Service - other,63,55,2004,2003,2007,2007,2143465067,1528753263,3475,4427,5814,4649,565,42965
Cruise,107,42,2005,2003,2008,2007,9309160931,931821300,1071,1312,1155,1141,2001,154920
Refrigerated bulk,27,17,1993,1993,1992,1992,920484495,1036580251,3613,3587,4162,4254,453,34453
Ro-Ro,68,10,2000,2000,2001,2000,7579494546,3600815984,1245,1443,1992,1994,821,63606
Other liquids tankers,78,12,2003,2005,2004,2004,9688637802,12013060603,5292,5504,5147,5133,1845,142676
Ferry-RoPax,18,2,2009,2010,2009,2009,3650895,929387,50,50,205,194,6,420
Ferry-pax only,1,1,2003,2003,2003,2003,262310,17009,378,378,378,378,1,45
