int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,6424,3909,2010,2010,2009,2009,2694050186668,5099614225568,5392,6020,7478,7591,157204,12171796
Chemical tanker,998,572,2010,2010,2010,2010,77684329398,128171640311,3356,3492,3543,3549,11514,889452
Container,1647,261,2010,2010,2012,2012,323329391221,367571400965,2953,2988,2876,2876,32931,2550017
Liquefied gas tanker,205,100,2011,2011,2012,2011,29353644792,28359519831,3435,3624,3880,3869,3750,262746
Oil tanker,642,395,2010,2009,2011,2011,267899700505,507477103542,4096,5142,5605,5709,20995,1624488
Offshore,228,222,2009,2010,2008,2007,3997904612,5518399107,712,1820,1861,2260,1333,100412
Service - tug,187,167,2008,2009,2009,2008,730902628,587320773,567,1818,2220,2280,619,46619
General cargo,1013,473,2004,2006,2005,2006,118335290590,170064169092,4417,4525,5160,5221,13435,1035188
Vehicle,267,89,2007,2008,2007,2007,29339623636,9692192152,1019,2029,1953,2005,1921,148779
Miscellaneous - fishing,23,14,1999,2000,1997,1994,105276050,75520194,3239,3424,3129,3425,83,6229
Service - other,63,55,2004,2003,2004,2003,1316245605,1291619905,2758,4089,3570,3928,459,34806
Cruise,107,42,2005,2003,2007,2007,9069108947,928428555,1042,1361,1125,1136,2032,157317
Refrigerated bulk,27,17,1993,1993,1993,1993,910576405,1006631327,4654,4061,4117,4131,383,29186
Ro-Ro,68,10,2000,2000,2001,2000,7203001219,3427850498,2496,2082,1893,1898,755,58428
Other liquids tankers,78,12,2003,2005,2004,2004,10155980308,12559698137,5485,5016,5395,5367,2177,168039
Ferry-RoPax,18,2,2009,2010,2009,2010,24625141,9736761,79,5366,1383,2036,38,2825
Ferry-pax only,1,1,2003,2003,2003,2003,364719,23649,526,526,526,526,0,23
