int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,743,167,1994,1995,1998,1998,1766099523,2188828986,511,517,723,720,449,33804
Service - tug,64,41,2005,2004,2008,2006,45603397,23668617,382,1131,1111,1174,104,7786
Oil tanker,166,19,2005,2001,2006,2006,466561331,784515372,251,474,396,394,241,18101
Miscellaneous - fishing,2,1,1996,1996,1996,1996,500395,254918,674,674,674,674,3,232
Service - other,7,6,2009,2008,2015,2016,21165803,15250327,527,2909,5248,7580,38,2845
Offshore,6,5,1986,1985,1986,1987,8729657,6647500,1511,1443,1407,1448,26,1972
Ferry-RoPax,126,5,1986,1985,1985,1985,633409623,218512490,351,356,439,439,199,15112
Bulk carrier,8,4,1980,1982,1979,1979,9289445,11830894,451,406,444,445,3,236
Ro-Ro,268,7,2007,2006,2008,2007,691499942,475121207,286,268,313,313,204,15765
Chemical tanker,4,4,2006,2006,2011,2011,4617223,6306496,232,258,277,276,14,1026
