int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1963,1449,2010,2011,2011,2011,101219140318,180152348687,384,1596,1685,1719,7778,601978
Chemical tanker,698,374,2009,2010,2009,2009,12677883534,20968288018,355,894,885,892,2651,204351
General cargo,429,197,1999,2008,2009,2009,13621615835,19655797018,382,2651,2731,2746,1777,136634
Vehicle,174,68,2008,2008,2009,2008,5639865674,1747082076,422,541,588,581,357,27678
Service - tug,287,71,2004,1998,2002,2003,107228032,100427490,245,738,588,641,187,14066
Liquefied gas tanker,107,73,2010,2011,2011,2011,24749960509,21464739627,1469,3740,3655,3590,2812,178804
Miscellaneous - fishing,218,203,1987,1987,1991,1990,377788324,338346670,184,2465,3055,3174,924,69380
Oil tanker,199,96,2005,2006,2008,2008,12726958188,23101603756,233,2045,2185,2263,1555,119966
Container,758,153,2009,2010,2011,2011,23603135861,27038601264,227,482,500,502,2707,209305
Cruise,347,53,1995,1998,2003,2000,6872207550,778411853,642,593,546,577,2119,163198
Service - other,79,30,1991,1996,1998,2001,370773347,315870568,343,1526,1366,1226,153,11578
Refrigerated bulk,23,18,1994,1995,1992,1992,1121317140,1184749386,5481,4208,4143,4163,463,35217
Ro-Ro,84,15,2000,1999,2001,2000,1020784029,488381178,185,447,513,503,127,9752
Ferry-RoPax,17,4,2005,2004,2005,2005,172396543,13201071,753,678,851,858,47,3482
Offshore,29,12,1982,1992,2010,2009,179225578,151232943,204,1706,670,660,148,11077
Ferry-pax only,44,5,2004,1991,1991,1987,257489326,66464683,598,1277,1203,1680,124,9488
Yacht,4,1,1911,1911,1911,1911,967479,1036935,840,840,798,798,0,0
Other liquids tankers,2,2,2015,2015,2014,2014,26355450,36692299,468,468,472,468,2,164
Miscellaneous - other,4,1,1989,1989,1989,1989,17220145,4640095,675,675,667,667,6,477
