dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1857,1062,2010,2011,2011,2011,16830929818,30129251616,232,256,283,286,1804,139580
Chemical tanker,2083,302,2009,2010,2009,2009,7816402956,12302074752,226,212,296,293,3828,291658
Vehicle,76,40,2009,2008,2009,2009,364530306,115646091,82,85,87,87,38,2977
Service - tug,816,60,1998,1997,2000,1998,190162565,170810515,191,855,439,487,513,38547
Miscellaneous - fishing,938,193,1987,1986,1988,1987,1356468868,1110665738,2003,3573,3455,3485,2363,177496
General cargo,606,92,1991,2007,2004,2004,951514938,1291495585,165,318,285,287,253,19167
Oil tanker,1114,46,1982,2005,2004,2004,9622642712,16474760111,82,281,816,812,1917,147816
Service - other,242,20,1997,1993,1996,1992,784697584,1064084732,372,1534,961,853,248,18683
Ro-Ro,29,10,1998,1999,1999,1998,76518309,39805689,82,102,86,91,20,1501
Cruise,15,10,2003,2004,2004,2003,1081024873,120470136,879,912,1010,1030,268,20792
Container,321,19,2005,2006,2006,2006,2923517009,3570934677,344,476,437,428,852,65245
Liquefied gas tanker,17,7,2011,2009,2011,2012,160381832,194548530,248,406,279,318,33,2494
Refrigerated bulk,8,5,1992,1992,1992,1992,22097769,24358287,153,227,239,249,23,1734
Offshore,44,6,1987,1988,2002,2002,68210406,67538736,200,500,677,657,64,4827
Ferry-pax only,1,1,1989,1989,1989,1989,7025273,1234605,1536,1536,1536,1536,3,194
Other liquids tankers,2,2,2015,2015,2015,2015,9867632,13826566,176,176,177,176,1,95
