int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1964,1450,2010,2011,2011,2011,278450329410,493133975007,4562,4662,4633,4704,23924,1851984
Chemical tanker,698,374,2009,2010,2011,2011,39405019307,65381801898,1089,3039,2751,2780,5780,446440
Vehicle,174,68,2008,2008,2009,2009,16162067381,5033772536,1122,1847,1685,1675,923,71475
General cargo,429,197,1999,2008,2010,2010,8750204367,12785767839,809,2151,1754,1786,1365,104814
Liquefied gas tanker,107,73,2010,2011,2011,2011,33722417968,29044856916,4482,4623,4980,4857,3413,218458
Miscellaneous - fishing,218,203,1987,1987,1988,1986,539055399,478078800,1250,3262,4360,4485,1093,82111
Service - tug,287,71,2004,1998,2006,2006,89358464,78667516,247,887,490,502,208,15620
Oil tanker,199,96,2005,2006,2008,2008,19682374678,35567855891,784,3715,3378,3484,2300,177274
Cruise,347,53,1995,1998,2003,2000,7859815427,899864092,611,719,624,667,2146,165411
Container,758,153,2009,2010,2011,2011,21477579160,25040947223,447,704,455,465,2266,175213
Service - other,79,30,1991,1996,1997,1995,380665693,342847551,485,1303,1402,1331,141,10658
Refrigerated bulk,23,18,1994,1995,1994,1994,1561242268,1643404709,6386,5743,5768,5775,588,44906
Ro-Ro,84,15,2000,1999,2001,2000,511792057,250076359,193,177,257,257,117,8907
Ferry-RoPax,17,4,2005,2004,2010,2011,1356831228,91792691,764,22926,6696,5964,935,56893
Offshore,29,12,1982,1992,2009,2009,662801666,556486926,207,1482,2477,2430,102,7097
Ferry-pax only,44,5,2004,1991,1992,1987,286145840,71027708,617,996,1336,1795,124,9434
Yacht,4,1,1911,1911,1911,1911,797473,854724,645,645,658,658,0,0
Other liquids tankers,2,2,2015,2015,2015,2015,261931334,369372780,4711,4711,4690,4711,26,1986
Miscellaneous - other,4,1,1989,1989,1989,1989,18456987,4973371,668,668,715,715,7,527
